Group1; SecondsElapsed; DateTimePC; N94_NTC1 | N94_NTC2 | N94_TestSB || N96_NTC1 | N96_NTC2 | N96_TestSB
Group1; 0.056491; 2026-07-03 16:07:47.641298; New Node Array: 94 96
Group1; 0.056716; 2026-07-03 16:07:47.641523; 
Group1; 4.616895; 2026-07-03 16:07:52.201702; N94_NTC1 | N94_NTC2 | N94_TestSB || N96_NTC1 | N96_NTC2 | N96_TestSB
Group1; 9.19264; 2026-07-03 16:07:56.777447; 1516336 | 1514795 | 1516698 || 1513663 | 1516166 | 1511565
Group1; 13.768463; 2026-07-03 16:08:01.353270; 1516335 | 1514527 | 1516474 || 1513283 | 1515621 | 1510945
Group1; 18.328179; 2026-07-03 16:08:05.912986; 1515686 | 1513785 | 1515700 || 1512003 | 1514611 | 1509833
Group1; 22.904142; 2026-07-03 16:08:10.488949; 1514818 | 1513006 | 1515113 || 1511709 | 1514298 | 1509746
Group1; 27.480044; 2026-07-03 16:08:15.064851; 1514475 | 1512670 | 1514734 || 1511495 | 1513963 | 1509427
Group1; 32.055546; 2026-07-03 16:08:19.640353; 1514031 | 1512453 | 1514471 || 1511628 | 1514243 | 1509485
Group1; 36.631241; 2026-07-03 16:08:24.216048; 1514242 | 1512704 | 1514539 || 1511366 | 1513707 | 1508895
Group1; 41.207536; 2026-07-03 16:08:28.792343; 1513800 | 1512245 | 1514383 || 1511339 | 1513860 | 1509185
Group1; 45.782406; 2026-07-03 16:08:33.367213; 1513437 | 1511897 | 1514288 || 1510936 | 1513632 | 1509030
Group1; 50.359077; 2026-07-03 16:08:37.943884; 1513838 | 1512261 | 1514118 || 1510978 | 1513469 | 1508556
Group1; 54.934874; 2026-07-03 16:08:42.519681; 1513840 | 1512211 | 1513972 || 1511221 | 1513634 | 1508721
Group1; 59.510352; 2026-07-03 16:08:47.095159; 1513756 | 1512267 | 1514283 || 1511379 | 1513687 | 1508980
Group1; 64.086561; 2026-07-03 16:08:51.671368; 1514021 | 1512297 | 1514204 || 1511398 | 1513984 | 1509046
Group1; 68.66228; 2026-07-03 16:08:56.247087; 1513930 | 1512270 | 1514390 || 1511059 | 1513765 | 1509160
Group1; 73.238434; 2026-07-03 16:09:00.823241; 1513844 | 1512337 | 1514430 || 1511660 | 1514298 | 1509604
Group1; 77.814264; 2026-07-03 16:09:05.399071; 1514487 | 1513079 | 1514814 || 1511759 | 1514400 | 1510126
Group1; 82.389531; 2026-07-03 16:09:09.974338; 1514750 | 1513306 | 1515127 || 1512261 | 1514639 | 1509918
Group1; 86.965054; 2026-07-03 16:09:14.549861; 1514667 | 1513100 | 1514968 || 1511909 | 1514604 | 1509805
Group1; 91.540805; 2026-07-03 16:09:19.125612; 1514623 | 1513082 | 1515027 || 1511990 | 1514928 | 1510191
Group1; 96.117079; 2026-07-03 16:09:23.701886; 1515018 | 1513495 | 1515054 || 1512004 | 1514509 | 1509975
Group1; 100.692366; 2026-07-03 16:09:28.277173; 1514691 | 1513093 | 1515205 || 1512184 | 1514695 | 1509773
Group1; 105.25276; 2026-07-03 16:09:32.837567; 1514683 | 1512992 | 1514943 || 1511849 | 1514220 | 1509712
Group1; 109.828723; 2026-07-03 16:09:37.413530; 1514357 | 1512736 | 1514766 || 1511671 | 1514185 | 1509500
Group1; 114.404472; 2026-07-03 16:09:41.989279; 1514094 | 1512587 | 1514673 || 1511117 | 1513943 | 1509328
Group1; 118.979929; 2026-07-03 16:09:46.564736; 1513876 | 1512358 | 1514304 || 1511282 | 1513864 | 1508992
Group1; 123.55606; 2026-07-03 16:09:51.140867; 1513909 | 1512267 | 1514123 || 1510983 | 1513461 | 1508652
Group1; 128.131165; 2026-07-03 16:09:55.715972; 1513432 | 1511799 | 1513794 || 1510639 | 1513206 | 1508381
Group1; 132.707061; 2026-07-03 16:10:00.291868; 1513336 | 1511664 | 1513857 || 1510854 | 1513526 | 1508629
Group1; 137.283518; 2026-07-03 16:10:04.868325; 1513346 | 1511697 | 1513809 || 1510056 | 1512884 | 1508109
Group1; 141.858922; 2026-07-03 16:10:09.443729; 1513040 | 1511569 | 1513822 || 1510780 | 1513027 | 1508302
Group1; 146.434838; 2026-07-03 16:10:14.019645; 1513249 | 1511517 | 1513567 || 1510387 | 1512940 | 1508125
Group1; 151.010557; 2026-07-03 16:10:18.595364; 1512985 | 1511641 | 1513310 || 1510706 | 1513780 | 1509118
Group1; 155.5867; 2026-07-03 16:10:23.171507; 1513804 | 1512402 | 1514027 || 1511091 | 1513545 | 1508656
Group1; 160.162421; 2026-07-03 16:10:27.747228; 1513679 | 1511924 | 1513937 || 1510833 | 1513521 | 1509454
Group1; 164.738586; 2026-07-03 16:10:32.323393; 1513750 | 1512574 | 1514723 || 1511637 | 1514025 | 1509373
Group1; 169.314259; 2026-07-03 16:10:36.899066; 1514237 | 1512626 | 1515107 || 1511609 | 1514980 | 1510413
Group1; 173.889596; 2026-07-03 16:10:41.474403; 1515060 | 1513593 | 1515451 || 1512362 | 1514955 | 1510147
