Group1; SecondsElapsed; DateTimePC; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 0.043613; 2026-07-03 23:45:37.616252; New Node Array: 88 89 90 91
Group1; 0.043769; 2026-07-03 23:45:37.616408; 
Group1; 9.179091; 2026-07-03 23:45:46.751730; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 18.330595; 2026-07-03 23:45:55.903234; 1595197 | 1587024 | 1589804 || 1588672 | 1594530 | 1593536 || 1589190 | 1596251 | 1596565 || 1592174 | 1593120 | 1595500
Group1; 27.482236; 2026-07-03 23:46:05.054875; 1600615 | 1592532 | 1595460 || 1595491 | 1602845 | 1601524 || 1596478 | 1605354 | 1605936 || 1601097 | 1602845 | 1606230
Group1; 36.633957; 2026-07-03 23:46:14.206596; 1609992 | 1601155 | 1604456 || 1604837 | 1613371 | 1611853 || 1607473 | 1616338 | 1615791 || 1611945 | 1613030 | 1616425
Group1; 45.769352; 2026-07-03 23:46:23.341991; 1620025 | 1611414 | 1614271 || 1615418 | 1623020 | 1622073 || 1617627 | 1626061 | 1626268 || 1622235 | 1623294 | 1626415
Group1; 54.921235; 2026-07-03 23:46:32.493874; 1630614 | 1621473 | 1624126 || 1625310 | 1635397 | 1632232 || 1627557 | 1637250 | 1638102 || 1633422 | 1633921 | 1636632
Group1; 64.072678; 2026-07-03 23:46:41.645317; 1641594 | 1631858 | 1634809 || 1637302 | 1646208 | 1643404 || 1639404 | 1648175 | 1648659 || 1643873 | 1645240 | 1648575
Group1; 73.224175; 2026-07-03 23:46:50.796814; 1652542 | 1643530 | 1646304 || 1646835 | 1656271 | 1654698 || 1649167 | 1658039 | 1657624 || 1655245 | 1655415 | 1659589
Group1; 82.375722; 2026-07-03 23:46:59.948361; 1663878 | 1654486 | 1656477 || 1658199 | 1665527 | 1664111 || 1659945 | 1668669 | 1668756 || 1665363 | 1665408 | 1668737
Group1; 91.527261; 2026-07-03 23:47:09.099900; 1673175 | 1664595 | 1666110 || 1668070 | 1676436 | 1673336 || 1669999 | 1678865 | 1678153 || 1674111 | 1674877 | 1677697
Group1; 100.678876; 2026-07-03 23:47:18.251515; 1682502 | 1673441 | 1676189 || 1677381 | 1684797 | 1683026 || 1678169 | 1687629 | 1687307 || 1682588 | 1683503 | 1686542
Group1; 109.814589; 2026-07-03 23:47:27.387228; 1690968 | 1682602 | 1684648 || 1685446 | 1693997 | 1691672 || 1686562 | 1695353 | 1695216 || 1691286 | 1692455 | 1694753
Group1; 118.966111; 2026-07-03 23:47:36.538750; 1699715 | 1690585 | 1693137 || 1693633 | 1701135 | 1700285 || 1695312 | 1703420 | 1704338 || 1699958 | 1699902 | 1703120
Group1; 128.117763; 2026-07-03 23:47:45.690402; 1707991 | 1698273 | 1700925 || 1702032 | 1709666 | 1708441 || 1703248 | 1711086 | 1712045 || 1708052 | 1708305 | 1711426
Group1; 137.269187; 2026-07-03 23:47:54.841826; 1715874 | 1706379 | 1709564 || 1710087 | 1718000 | 1715475 || 1711161 | 1720032 | 1720105 || 1715409 | 1716327 | 1719067
Group1; 146.42078; 2026-07-03 23:48:03.993419; 1724129 | 1714690 | 1717252 || 1718904 | 1725943 | 1724757 || 1719290 | 1728092 | 1729199 || 1723943 | 1723807 | 1726871
Group1; 155.572396; 2026-07-03 23:48:13.145035; 1732199 | 1722735 | 1725377 || 1726228 | 1734677 | 1731869 || 1727597 | 1737040 | 1736381 || 1731601 | 1732836 | 1735005
Group1; 164.723821; 2026-07-03 23:48:22.296460; 1739981 | 1731405 | 1733735 || 1734510 | 1741959 | 1740873 || 1735468 | 1744169 | 1744570 || 1740063 | 1740401 | 1743136
Group1; 173.875624; 2026-07-03 23:48:31.448263; 1749074 | 1738986 | 1741624 || 1742470 | 1750513 | 1748053 || 1744011 | 1752326 | 1751627 || 1748138 | 1749055 | 1750621
Group1; 183.011144; 2026-07-03 23:48:40.583783; 1756631 | 1747235 | 1748470 || 1750580 | 1757983 | 1755463 || 1751713 | 1760364 | 1760435 || 1756157 | 1756023 | 1759239
Group1; 192.162625; 2026-07-03 23:48:49.735264; 1764308 | 1754188 | 1757189 || 1757613 | 1766231 | 1764478 || 1759441 | 1768036 | 1768505 || 1763775 | 1764743 | 1767651
Group1; 201.314222; 2026-07-03 23:48:58.886861; 1772236 | 1762967 | 1765436 || 1766205 | 1774268 | 1772356 || 1767817 | 1775988 | 1776892 || 1772382 | 1771385 | 1775542
Group1; 210.465952; 2026-07-03 23:49:08.038591; 1780620 | 1770641 | 1773569 || 1774090 | 1782738 | 1780350 || 1775371 | 1784961 | 1784717 || 1780078 | 1780505 | 1783388
Group1; 219.617395; 2026-07-03 23:49:17.190034; 1788915 | 1779868 | 1782353 || 1782571 | 1790601 | 1788842 || 1783851 | 1792697 | 1792646 || 1788081 | 1789056 | 1791355
Group1; 228.769301; 2026-07-03 23:49:26.341940; 1796529 | 1786954 | 1789884 || 1790811 | 1798350 | 1797022 || 1791289 | 1800762 | 1799164 || 1796226 | 1796800 | 1799269
Group1; 237.920547; 2026-07-03 23:49:35.493186; 1804992 | 1794925 | 1797878 || 1798636 | 1806943 | 1804595 || 1799858 | 1809170 | 1809487 || 1804320 | 1804735 | 1807268
Group1; 247.05626; 2026-07-03 23:49:44.628899; 1812491 | 1802253 | 1806116 || 1806360 | 1814702 | 1813002 || 1807578 | 1816550 | 1816875 || 1812440 | 1812033 | 1815953
Group1; 256.207745; 2026-07-03 23:49:53.780384; 1821074 | 1810092 | 1814026 || 1814003 | 1822900 | 1820398 || 1815901 | 1824274 | 1824624 || 1820304 | 1819798 | 1824063
Group1; 265.359447; 2026-07-03 23:50:02.932086; 1828477 | 1818316 | 1822103 || 1823020 | 1831089 | 1827942 || 1824238 | 1833755 | 1833178 || 1828350 | 1829302 | 1832087
Group1; 274.510942; 2026-07-03 23:50:12.083581; 1836693 | 1826874 | 1829783 || 1830522 | 1839256 | 1836732 || 1832255 | 1841546 | 1839967 || 1837262 | 1837851 | 1839836
Group1; 283.662522; 2026-07-03 23:50:21.235161; 1845616 | 1835785 | 1837964 || 1838951 | 1847587 | 1845430 || 1840147 | 1849361 | 1849928 || 1844675 | 1844975 | 1848649
Group1; 292.814463; 2026-07-03 23:50:30.387102; 1853220 | 1843391 | 1846805 || 1846507 | 1854863 | 1854399 || 1847902 | 1857419 | 1857947 || 1852763 | 1853227 | 1855839
Group1; 301.965581; 2026-07-03 23:50:39.538220; 1861921 | 1851381 | 1854519 || 1855255 | 1863393 | 1861260 || 1856590 | 1864714 | 1863342 || 1859788 | 1858174 | 1856804
