Group1; SecondsElapsed; DateTimePC; N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB || N92_NTC1 | N92_NTC2 | N92_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N94_NTC1 | N94_NTC2 | N94_TestSB
Group1; 0.062107; 2026-07-02 18:24:50.619949; New Node Array: 90 91 92 93 94
Group1; 0.062432; 2026-07-02 18:24:50.620274; 
Group1; 11.485501; 2026-07-02 18:25:02.043343; N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB || N92_NTC1 | N92_NTC2 | N92_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N94_NTC1 | N94_NTC2 | N94_TestSB
Group1; 22.925037; 2026-07-02 18:25:13.482879; 3858317 | 3888018 | 3934028 || 1242190 | 1244034 | 1243590 || 3497148 | 3569261 | 3648609 || 1244955 | 1243666 | 1243297 || 3579864 | 3677620 | 3734872
Group1; 34.364487; 2026-07-02 18:25:24.922329; 3880598 | 3914589 | 3958422 || 1240171 | 1241960 | 1240999 || 3588318 | 3687660 | 3747171 || 1242900 | 1241717 | 1241191 || 3680589 | 3707678 | 3748534
Group1; 45.804349; 2026-07-02 18:25:36.362191; 3841448 | 3909386 | 3970124 || 1239134 | 1240588 | 1239762 || 3682000 | 3764541 | 3793777 || 1242107 | 1240037 | 1239442 || 3476075 | 3584143 | 3684588
Group1; 57.227722; 2026-07-02 18:25:47.785564; 3921440 | 3954709 | 3997331 || 1238114 | 1238550 | 1238293 || 3481492 | 3606705 | 3706354 || 1241029 | 1238781 | 1238147 || 3702366 | 3778912 | 3808336
Group1; 68.667287; 2026-07-02 18:25:59.225129; 3874836 | 3939082 | 3982096 || 1237272 | 1237391 | 1237179 || 3701891 | 3780669 | 3805077 || 1239570 | 1237801 | 1236741 || 3516247 | 3602602 | 3677089
Group1; 80.106478; 2026-07-02 18:26:10.664320; 3903042 | 3947611 | 3994919 || 1236073 | 1235881 | 1235777 || 3488742 | 3590729 | 3685864 || 1239199 | 1236488 | 1235755 || 3671469 | 3757296 | 3799718
Group1; 91.546226; 2026-07-02 18:26:22.104068; 3880014 | 3936879 | 3988026 || 1235163 | 1234810 | 1234561 || 3714909 | 3787831 | 3817446 || 1238240 | 1235390 | 1234632 || 3553309 | 3620788 | 3681711
Group1; 102.986873; 2026-07-02 18:26:33.544715; 3903031 | 3948409 | 3999846 || 1234577 | 1233828 | 1233805 || 3488639 | 3596667 | 3697610 || 1237954 | 1234667 | 1233880 || 3702008 | 3777788 | 3805994
Group1; 114.426145; 2026-07-02 18:26:44.983987; 3878843 | 3945231 | 3995154 || 1233981 | 1232934 | 1232816 || 3700147 | 3780448 | 3806831 || 1236752 | 1233601 | 1232835 || 3513414 | 3603280 | 3682996
Group1; 125.865643; 2026-07-02 18:26:56.423485; 3910433 | 3954345 | 4002594 || 1233114 | 1231919 | 1231958 || 3507425 | 3599503 | 3682300 || 1236386 | 1232865 | 1232017 || 3600686 | 3708794 | 3776220
Group1; 137.304993; 2026-07-02 18:27:07.862835; 3906242 | 3952676 | 4003771 || 1232491 | 1231088 | 1231216 || 3631740 | 3727937 | 3786419 || 1235709 | 1232155 | 1231307 || 3683651 | 3764340 | 3797785
Group1; 148.744418; 2026-07-02 18:27:19.302260; 3875616 | 3933407 | 3993049 || 1232022 | 1230308 | 1230477 || 3676393 | 3759522 | 3800028 || 1235627 | 1231634 | 1230690 || 3481787 | 3605178 | 3709453
Group1; 160.168345; 2026-07-02 18:27:30.726187; 3932131 | 3968560 | 4015570 || 1232024 | 1229772 | 1230164 || 3485589 | 3617257 | 3715524 || 1235610 | 1231375 | 1230256 || 3707415 | 3781285 | 3812826
Group1; 171.607899; 2026-07-02 18:27:42.165741; 3881389 | 3950048 | 3997701 || 1231631 | 1229602 | 1229930 || 3706650 | 3784190 | 3810234 || 1235507 | 1231234 | 1230257 || 3493612 | 3594721 | 3682199
