# Plateau schedule for automated calibration run
# gate_mode: drift
# coarse settle: tol=0.1 C, window=10.0 min, timeout=30.0 min/10K (floor 15.0 min)
# drift gate: |drift|<3 mK and sd<8 mK over the trailing 30 min on Channel2; min soak = plateau_minutes, cap = min soak + 90 min
# columns: idx; setpoint_C; ramp_C_per_min; t_command; t_stable; t_dwell_start; t_dwell_end; gate_ok; drift_mK; sd_mK; n
# [t_dwell_start, t_dwell_end] is the accepted trailing average window; average the reference/DUT over it. Row is written when the gate ACCEPTS (end of soak); an interrupted soak leaves no row -- recover from raw logs.
1; -3.0; 1.0; 2026-07-06 13:52:02.917832; 2026-07-06 14:02:10.623260; 2026-07-06 14:11:10.892209; 2026-07-06 14:41:10.892209; True; 2.13; 4.05; 496
2; -7.0; 1.0; 2026-07-06 14:41:12.505513; 2026-07-06 14:56:20.797643; 2026-07-06 15:14:52.622428; 2026-07-06 15:44:52.622428; True; 1.69; 7.56; 496
3; -11.0; 1.0; 2026-07-06 15:44:54.260480; 2026-07-06 15:59:58.856966; 2026-07-06 16:39:06.702599; 2026-07-06 17:09:06.702599; True; 2.95; 5.67; 496
4; -15.0; 1.0; 2026-07-06 17:09:08.336025; 2026-07-06 17:24:12.929706; 2026-07-06 18:05:27.418162; 2026-07-06 18:35:27.418162; True; 1.09; 5.95; 496
5; -19.0; 1.0; 2026-07-06 18:35:29.054231; 2026-07-06 18:50:33.109038; 2026-07-06 19:39:41.774896; 2026-07-06 20:09:41.774896; True; 2.98; 7.26; 496
6; -23.0; 1.0; 2026-07-06 20:09:43.411586; 2026-07-06 20:24:47.910902; 2026-07-06 20:54:57.592112; 2026-07-06 21:24:57.592112; True; 1.07; 4.40; 496
7; -27.0; 1.0; 2026-07-06 21:24:59.225845; 2026-07-06 21:40:03.724642; 2026-07-06 22:20:14.186880; 2026-07-06 22:50:14.186880; True; 0.62; 4.04; 496
8; -31.0; 1.0; 2026-07-06 22:50:15.822193; 2026-07-06 23:05:19.579848; 2026-07-07 00:25:36.925462; 2026-07-07 00:55:36.925462; True; 1.69; 4.00; 496
9; -35.0; 1.0; 2026-07-07 00:55:38.566648; 2026-07-07 01:10:43.082830; 2026-07-07 02:41:02.390247; 2026-07-07 03:11:02.390247; True; 0.97; 5.85; 496
10; -25.0; 1.0; 2026-07-07 03:11:04.022760; 2026-07-07 03:41:04.404561; 2026-07-07 03:56:27.525301; 2026-07-07 04:26:27.525301; True; 1.26; 5.10; 496
11; -15.0; 1.0; 2026-07-07 04:26:29.159711; 2026-07-07 04:56:36.655483; 2026-07-07 05:21:29.765110; 2026-07-07 05:51:29.765110; True; 1.93; 5.48; 496
12; -5.0; 1.0; 2026-07-07 05:51:31.398285; 2026-07-07 06:21:31.735361; 2026-07-07 06:51:08.571428; 2026-07-07 07:21:08.571428; True; 2.14; 7.18; 496
