Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB
Group1; 0.044557; 2026-07-07 07:41:07.144327; New Node Array: 95 13 18 19 25
Group1; 0.060232; 2026-07-07 07:41:07.160002; 
Group1; 11.467978; 2026-07-07 07:41:18.567748; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB
Group1; 22.907414; 2026-07-07 07:41:30.007184; 852559 | 854012 | 854219 || 852884 | 852668 | 854763 || 854447 | 853425 | 853241 || 853944 | 851846 | 852080 || 851884 | 853311 | 853938
Group1; 34.331261; 2026-07-07 07:41:41.431031; 852421 | 853931 | 853999 || 852774 | 852681 | 854756 || 854404 | 853398 | 853241 || 854048 | 852096 | 852209 || 852177 | 853455 | 854081
Group1; 45.77051; 2026-07-07 07:41:52.870280; 852552 | 853993 | 854091 || 852849 | 852597 | 854887 || 854469 | 853485 | 853356 || 854012 | 852111 | 852371 || 852335 | 853638 | 854273
Group1; 57.210077; 2026-07-07 07:42:04.309847; 852797 | 854356 | 854576 || 853311 | 852912 | 855147 || 854708 | 853670 | 853563 || 854261 | 852327 | 852479 || 852454 | 853730 | 854401
Group1; 68.649553; 2026-07-07 07:42:15.749323; 852846 | 854286 | 854424 || 853197 | 852989 | 855205 || 854727 | 853731 | 853639 || 854385 | 852432 | 852541 || 852594 | 853848 | 854583
Group1; 80.089221; 2026-07-07 07:42:27.188991; 853044 | 854629 | 855016 || 853598 | 853262 | 855348 || 854971 | 853857 | 853816 || 854523 | 852596 | 852837 || 852720 | 854058 | 854712
Group1; 91.512664; 2026-07-07 07:42:38.612434; 853212 | 854616 | 854808 || 853473 | 853400 | 855625 || 854974 | 854018 | 853825 || 854551 | 852592 | 852852 || 852892 | 854226 | 855125
Group1; 102.95239; 2026-07-07 07:42:50.052160; 853654 | 855211 | 855192 || 853935 | 853432 | 855684 || 855248 | 854211 | 854284 || 854825 | 853035 | 853280 || 853147 | 854517 | 855265
Group1; 114.391806; 2026-07-07 07:43:01.491576; 853772 | 855310 | 855413 || 854115 | 853914 | 855857 || 855529 | 854476 | 854313 || 855026 | 853245 | 853443 || 853403 | 854695 | 855473
Group1; 125.831419; 2026-07-07 07:43:12.931189; 853923 | 855282 | 855301 || 854011 | 853797 | 856013 || 855587 | 854562 | 854477 || 855078 | 853194 | 853337 || 853310 | 854505 | 855146
Group1; 137.254911; 2026-07-07 07:43:24.354681; 853524 | 855189 | 855498 || 853989 | 853745 | 855877 || 855581 | 854534 | 854299 || 854982 | 853081 | 853360 || 853274 | 854534 | 854983
Group1; 148.694431; 2026-07-07 07:43:35.794201; 853536 | 855014 | 855077 || 853669 | 853500 | 855683 || 855394 | 854444 | 854164 || 854904 | 853095 | 853333 || 853270 | 854510 | 855086
Group1; 160.134118; 2026-07-07 07:43:47.233888; 853601 | 854976 | 854934 || 853727 | 853449 | 855484 || 855329 | 854341 | 853982 || 854760 | 852883 | 853038 || 853085 | 854504 | 855216
Group1; 171.573429; 2026-07-07 07:43:58.673199; 853709 | 855098 | 855215 || 853536 | 853312 | 855684 || 855220 | 854278 | 854337 || 854897 | 853235 | 853358 || 853345 | 854520 | 855064
Group1; 182.997218; 2026-07-07 07:44:10.096988; 853595 | 855055 | 855082 || 853780 | 853739 | 855824 || 855390 | 854422 | 854448 || 855027 | 853266 | 853627 || 853515 | 854913 | 855547
Group1; 194.436511; 2026-07-07 07:44:21.536281; 854009 | 855465 | 855622 || 854176 | 853964 | 856182 || 855647 | 854713 | 854638 || 855269 | 853554 | 853817 || 853764 | 854885 | 855324
Group1; 205.87635; 2026-07-07 07:44:32.976120; 853811 | 855170 | 855371 || 853937 | 853890 | 856150 || 855598 | 854709 | 854713 || 855358 | 853478 | 853402 || 853567 | 854579 | 855244
Group1; 217.315678; 2026-07-07 07:44:44.415448; 853823 | 855307 | 855434 || 854231 | 853947 | 856318 || 855761 | 854739 | 854796 || 855320 | 853333 | 853471 || 853373 | 854541 | 855115
Group1; 228.755352; 2026-07-07 07:44:55.855122; 853650 | 855073 | 855360 || 854096 | 854077 | 856220 || 855776 | 854750 | 854540 || 855235 | 853181 | 853297 || 853288 | 854601 | 855352
Group1; 240.178883; 2026-07-07 07:45:07.278653; 853754 | 855404 | 855509 || 854271 | 853945 | 855912 || 855810 | 854643 | 854376 || 855204 | 853268 | 853305 || 853403 | 854473 | 854997
Group1; 251.618775; 2026-07-07 07:45:18.718545; 853558 | 854994 | 855029 || 853946 | 853908 | 856146 || 855571 | 854632 | 854353 || 855169 | 853043 | 853058 || 853130 | 854516 | 855270
Group1; 263.058107; 2026-07-07 07:45:30.157877; 853688 | 855184 | 855137 || 853933 | 853615 | 855730 || 855494 | 854442 | 854238 || 854880 | 852957 | 853171 || 853137 | 854488 | 855130
Group1; 274.497594; 2026-07-07 07:45:41.597364; 853747 | 855179 | 855505 || 854239 | 854066 | 856044 || 855712 | 854570 | 854420 || 855149 | 853123 | 853457 || 853441 | 854968 | 855563
Group1; 285.921036; 2026-07-07 07:45:53.020806; 854052 | 855570 | 855731 || 854432 | 854285 | 856378 || 855866 | 854900 | 854840 || 855574 | 853708 | 853901 || 853974 | 855329 | 855868
Group1; 297.360936; 2026-07-07 07:46:04.460706; 854489 | 855957 | 855988 || 854652 | 854524 | 856616 || 856162 | 855190 | 854962 || 855824 | 853764 | 853901 || 853872 | 855187 | 855943
Group1; 308.800566; 2026-07-07 07:46:15.900336; 854448 | 855996 | 856198 || 854811 | 854560 | 856788 || 856207 | 855291 | 855182 || 855774 | 853867 | 854097 || 853986 | 855289 | 855902
Group1; 320.239823; 2026-07-07 07:46:27.339593; 854365 | 855833 | 856025 || 854879 | 854600 | 856576 || 856329 | 855265 | 854995 || 855719 | 853747 | 854075 || 853967 | 855484 | 856172
Group1; 331.679352; 2026-07-07 07:46:38.779122; 854590 | 855935 | 856217 || 854447 | 854246 | 856518 || 856221 | 855234 | 855130 || 855729 | 853919 | 854265 || 854135 | 855581 | 856215
Group1; 343.102931; 2026-07-07 07:46:50.202701; 854796 | 856152 | 856132 || 854812 | 854598 | 856770 || 856402 | 855407 | 855177 || 855927 | 854194 | 854209 || 854412 | 855617 | 856251
Group1; 354.542594; 2026-07-07 07:47:01.642364; 854728 | 856074 | 856085 || 854845 | 854723 | 856895 || 856449 | 855487 | 855529 || 856105 | 854283 | 854280 || 854265 | 855508 | 856206
Group1; 365.981989; 2026-07-07 07:47:13.081759; 854609 | 856238 | 856465 || 855151 | 854961 | 856958 || 856606 | 855570 | 855545 || 856178 | 854467 | 854614 || 854643 | 855717 | 856338
Group1; 377.421451; 2026-07-07 07:47:24.521221; 854776 | 856179 | 856391 || 855142 | 854950 | 857317 || 856730 | 855729 | 855773 || 856359 | 854450 | 854579 || 854697 | 855919 | 856478
Group1; 388.845036; 2026-07-07 07:47:35.944806; 855025 | 856472 | 856515 || 855203 | 855070 | 857204 || 856817 | 855867 | 855688 || 856449 | 854440 | 854559 || 854533 | 855708 | 856375
Group1; 400.284692; 2026-07-07 07:47:47.384462; 854814 | 856354 | 856576 || 855430 | 855200 | 857342 || 856898 | 855800 | 855696 || 856379 | 854485 | 854582 || 854563 | 855750 | 856435
Group1; 411.724141; 2026-07-07 07:47:58.823911; 854959 | 856398 | 856506 || 855286 | 855019 | 857299 || 856842 | 855818 | 855722 || 856326 | 854386 | 854573 || 854519 | 855816 | 856466
Group1; 423.16376; 2026-07-07 07:48:10.263530; 855000 | 856401 | 856542 || 855224 | 854980 | 857281 || 856782 | 855831 | 855867 || 856423 | 854744 | 854831 || 854796 | 855916 | 856419
Group1; 434.603487; 2026-07-07 07:48:21.703257; 854895 | 856300 | 856559 || 855324 | 855268 | 857573 || 856871 | 855944 | 855809 || 856435 | 854499 | 854644 || 854632 | 855886 | 856685
Group1; 446.026814; 2026-07-07 07:48:33.126584; 855162 | 856838 | 857085 || 855588 | 855352 | 857327 || 856980 | 856014 | 855899 || 856596 | 854675 | 854957 || 854871 | 856079 | 856578
Group1; 457.466681; 2026-07-07 07:48:44.566451; 855147 | 856654 | 856761 || 855535 | 855461 | 857658 || 857092 | 856096 | 855830 || 856624 | 854449 | 854675 || 854718 | 856200 | 856931
