Group1; SecondsElapsed; DateTimePC; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 0.060233; 2026-07-03 19:04:51.180946; New Node Array: 88 89 90 91
Group1; 0.060516; 2026-07-03 19:04:51.181229; 
Group1; 9.196288; 2026-07-03 19:05:00.317001; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 18.347263; 2026-07-03 19:05:09.467976; 1287745 | 1281427 | 1283358 || 1281950 | 1285033 | 1285026 || 1281003 | 1285729 | 1286150 || 1282638 | 1282070 | 1282079
Group1; 27.483661; 2026-07-03 19:05:18.604374; 1287939 | 1281552 | 1283592 || 1282137 | 1284998 | 1285081 || 1281011 | 1285753 | 1286135 || 1282605 | 1282230 | 1282626
Group1; 36.63504; 2026-07-03 19:05:27.755753; 1288088 | 1281706 | 1283871 || 1282668 | 1285960 | 1285834 || 1281725 | 1286349 | 1286537 || 1283245 | 1282527 | 1283199
Group1; 45.78673; 2026-07-03 19:05:36.907443; 1288497 | 1282255 | 1284580 || 1283289 | 1286398 | 1286324 || 1282453 | 1286813 | 1287043 || 1283834 | 1283077 | 1283248
Group1; 54.9387; 2026-07-03 19:05:46.059413; 1289055 | 1282682 | 1284860 || 1283859 | 1287383 | 1287051 || 1283179 | 1287587 | 1287747 || 1284415 | 1283572 | 1283388
Group1; 64.090387; 2026-07-03 19:05:55.211100; 1289434 | 1283105 | 1285169 || 1283991 | 1287343 | 1287128 || 1283360 | 1287896 | 1287913 || 1284748 | 1283612 | 1283574
Group1; 73.241729; 2026-07-03 19:06:04.362442; 1289520 | 1283156 | 1285185 || 1283785 | 1286736 | 1286678 || 1282719 | 1287189 | 1287369 || 1284098 | 1283209 | 1282583
Group1; 82.393431; 2026-07-03 19:06:13.514144; 1289160 | 1282548 | 1284567 || 1283081 | 1285924 | 1285967 || 1281980 | 1286415 | 1286633 || 1283442 | 1282646 | 1282563
Group1; 91.545408; 2026-07-03 19:06:22.666121; 1288639 | 1282210 | 1284235 || 1282902 | 1285374 | 1285396 || 1281419 | 1285572 | 1285917 || 1282478 | 1281914 | 1282009
Group1; 100.680857; 2026-07-03 19:06:31.801570; 1287858 | 1281619 | 1283548 || 1282027 | 1284704 | 1284730 || 1280618 | 1285179 | 1285351 || 1282129 | 1281308 | 1280997
Group1; 109.83249; 2026-07-03 19:06:40.953203; 1287144 | 1280924 | 1282929 || 1281533 | 1285048 | 1284825 || 1280715 | 1285321 | 1285427 || 1282074 | 1281215 | 1281197
Group1; 118.984115; 2026-07-03 19:06:50.104828; 1287169 | 1280846 | 1282964 || 1281568 | 1284765 | 1284996 || 1280756 | 1285528 | 1285672 || 1282403 | 1281702 | 1281876
Group1; 128.136287; 2026-07-03 19:06:59.257000; 1287763 | 1281332 | 1283451 || 1282406 | 1285536 | 1285388 || 1281348 | 1286331 | 1286279 || 1283122 | 1282571 | 1282425
Group1; 137.288039; 2026-07-03 19:07:08.408752; 1288426 | 1282022 | 1284019 || 1282808 | 1285934 | 1285854 || 1281900 | 1286595 | 1286653 || 1283577 | 1282874 | 1283056
Group1; 146.439356; 2026-07-03 19:07:17.560069; 1288869 | 1282463 | 1284499 || 1283324 | 1286716 | 1286459 || 1282411 | 1287130 | 1287381 || 1283983 | 1283494 | 1283870
Group1; 155.591374; 2026-07-03 19:07:26.712087; 1289525 | 1283075 | 1285035 || 1283793 | 1286668 | 1286652 || 1282666 | 1287146 | 1287403 || 1284081 | 1283387 | 1283296
Group1; 164.727131; 2026-07-03 19:07:35.847844; 1289292 | 1282939 | 1284943 || 1283667 | 1286743 | 1286629 || 1282683 | 1287189 | 1287138 || 1283971 | 1282899 | 1282351
Group1; 173.878662; 2026-07-03 19:07:44.999375; 1288802 | 1282517 | 1284333 || 1282953 | 1286038 | 1285899 || 1281783 | 1286156 | 1286579 || 1283102 | 1282584 | 1282481
Group1; 183.030462; 2026-07-03 19:07:54.151175; 1288409 | 1282105 | 1284121 || 1282599 | 1285086 | 1285240 || 1281119 | 1285590 | 1286034 || 1282676 | 1281887 | 1281657
Group1; 192.182056; 2026-07-03 19:08:03.302769; 1287876 | 1281468 | 1283529 || 1282174 | 1285065 | 1285026 || 1280985 | 1285230 | 1285616 || 1282065 | 1281143 | 1281449
Group1; 201.333543; 2026-07-03 19:08:12.454256; 1287106 | 1280889 | 1283202 || 1281412 | 1284589 | 1284557 || 1280519 | 1285113 | 1285190 || 1281998 | 1281520 | 1281824
Group1; 210.484843; 2026-07-03 19:08:21.605556; 1287585 | 1281137 | 1283118 || 1282108 | 1284688 | 1284558 || 1280706 | 1285198 | 1285603 || 1282188 | 1281550 | 1281508
Group1; 219.636286; 2026-07-03 19:08:30.756999; 1287513 | 1281123 | 1283215 || 1281931 | 1285547 | 1285278 || 1281228 | 1285942 | 1286175 || 1282799 | 1282085 | 1281895
