# Plateau schedule for automated calibration run
# stability: tol=0.05 C, window=5.0 min, timeout=30.0 min/10K (floor 15.0 min)
# columns: idx; setpoint_C; ramp_C_per_min; t_command; t_stable; t_dwell_start; t_dwell_end; stable_ok
# each row is written when its dwell STARTS (survives Ctrl-C); t_dwell_end is the planned end = t_dwell_start + dwell.
1; -20.0; 1.0; 2026-07-03 23:44:47.948580; 2026-07-03 23:59:56.156318; 2026-07-03 23:59:56.156337; 2026-07-04 01:29:56.156337; False
2; -25.0; 1.0; 2026-07-04 01:29:59.394514; 2026-07-04 01:45:01.963459; 2026-07-04 01:45:01.963475; 2026-07-04 03:15:01.963475; False
3; -30.0; 1.0; 2026-07-04 03:15:05.236804; 2026-07-04 03:30:09.856452; 2026-07-04 03:30:09.856495; 2026-07-04 05:00:09.856495; False
4; -35.0; 1.0; 2026-07-04 05:00:13.136489; 2026-07-04 05:15:17.542024; 2026-07-04 05:15:17.542077; 2026-07-04 06:45:17.542077; False
5; -30.0; 1.0; 2026-07-04 06:45:20.825028; 2026-07-04 07:00:25.352950; 2026-07-04 07:00:25.353006; 2026-07-04 08:30:25.353006; False
6; -25.0; 1.0; 2026-07-04 08:30:28.630635; 2026-07-04 08:45:33.128740; 2026-07-04 08:45:33.128784; 2026-07-04 10:15:33.128784; False
7; -20.0; 1.0; 2026-07-04 10:15:36.414309; 2026-07-04 10:30:40.958627; 2026-07-04 10:30:40.958670; 2026-07-04 12:00:40.958670; False
8; -17.0; 1.0; 2026-07-04 12:00:44.233557; 2026-07-04 12:15:47.140837; 2026-07-04 12:15:47.140876; 2026-07-04 13:45:47.140876; False
9; -15.0; 1.0; 2026-07-04 13:45:50.417669; 2026-07-04 14:00:54.970211; 2026-07-04 14:00:54.970253; 2026-07-04 15:30:54.970253; False
10; -13.0; 1.0; 2026-07-04 15:30:58.260964; 2026-07-04 15:46:02.749313; 2026-07-04 15:46:02.749355; 2026-07-04 17:16:02.749355; False
11; -10.0; 1.0; 2026-07-04 17:16:06.028764; 2026-07-04 17:31:10.575673; 2026-07-04 17:31:10.575715; 2026-07-04 19:01:10.575715; False
12; -5.0; 1.0; 2026-07-04 19:01:13.855271; 2026-07-04 19:16:18.398671; 2026-07-04 19:16:18.398809; 2026-07-04 20:46:18.398809; False
13; 0.0; 1.0; 2026-07-04 20:46:21.675050; 2026-07-04 21:01:26.133846; 2026-07-04 21:01:26.133887; 2026-07-04 22:31:26.133887; False
14; -5.0; 1.0; 2026-07-04 22:31:29.414943; 2026-07-04 22:46:33.877754; 2026-07-04 22:46:33.877796; 2026-07-05 00:16:33.877796; False
15; -10.0; 1.0; 2026-07-05 00:16:37.145975; 2026-07-05 00:31:41.560038; 2026-07-05 00:31:41.560081; 2026-07-05 02:01:41.560081; False
16; -15.0; 1.0; 2026-07-05 02:01:44.843384; 2026-07-05 02:16:49.394587; 2026-07-05 02:16:49.394631; 2026-07-05 03:46:49.394631; False
17; -20.0; 1.0; 2026-07-05 03:46:52.674374; 2026-07-05 04:01:57.199090; 2026-07-05 04:01:57.199134; 2026-07-05 05:31:57.199134; False
18; -25.0; 1.0; 2026-07-05 05:32:00.481622; 2026-07-05 05:47:04.967331; 2026-07-05 05:47:04.967384; 2026-07-05 07:17:04.967384; False
19; -30.0; 1.0; 2026-07-05 07:17:08.248041; 2026-07-05 07:32:12.730815; 2026-07-05 07:32:12.730857; 2026-07-05 09:02:12.730857; False
