Group1; SecondsElapsed; DateTimePC; N91_NTC1 | N91_NTC2 | N91_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N29_NTC1 | N29_NTC2 | N29_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB || N99_NTC1 | N99_NTC2 | N99_TestSB
Group1; 0.045455; 2026-07-03 16:01:52.515900; New Node Array: 91 93 29 98 99
Group1; 0.060827; 2026-07-03 16:01:52.531272; 
Group1; 11.469268; 2026-07-03 16:02:03.939713; N91_NTC1 | N91_NTC2 | N91_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N29_NTC1 | N29_NTC2 | N29_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB || N99_NTC1 | N99_NTC2 | N99_TestSB
Group1; 22.908348; 2026-07-03 16:02:15.378793; 6027657 | 5937404 | 5919204 || 5838868 | 5887823 | 5980614 || 5904910 | 5892280 | 5784452 || 5724863 | 5714738 | 5741443 || 5828664 | 5688529 | 5620493
Group1; 34.347657; 2026-07-03 16:02:26.818102; 5570972 | 5525889 | 5491238 || 5429194 | 5406283 | 5373320 || 5330442 | 5305403 | 5276609 || 5217209 | 5166205 | 5176910 || 5303558 | 5291053 | 5277915
Group1; 45.771568; 2026-07-03 16:02:38.242013; 5088517 | 5030789 | 4987247 || 4920885 | 4919210 | 4906998 || 4846999 | 5117969 | 4936795 || 4843501 | 4770571 | 4734905 || 4666587 | 4633593 | 4595968
Group1; 57.211197; 2026-07-03 16:02:49.681642; 4556560 | 4524195 | 4508726 || 4457192 | 4430551 | 4400267 || 4347944 | 4328449 | 4304016 || 4247245 | 4223933 | 4205691 || 4153275 | 4134747 | 4112224
Group1; 68.650546; 2026-07-03 16:03:01.120991; 4058080 | 4041809 | 4014952 || 3964647 | 3952246 | 3930183 || 3882493 | 3872838 | 3837991 || 3784706 | 3765187 | 3746303 || 3693388 | 3681056 | 3656204
Group1; 80.090799; 2026-07-03 16:03:12.561244; 3611757 | 3592935 | 3573278 || 3886801 | 4486785 | 5367822 || 6121186 | 6839045 | 7134998 || 6741562 | 6033041 | 2922776 || 1141415 | 1488500 | 1338670
Group1; 91.529998; 2026-07-03 16:03:24.000443; 2795867 | 3171256 | 3680354 || 4727061 | 4501850 | 4627174 || 4022762 | 4915768 | 2723595 || 4889635 | 4839404 | 4422556 || 996949 | 1714679 | 3264980
Group1; 102.969479; 2026-07-03 16:03:35.439924; 1580399 | 2942028 | 614385 || 3968567 | 5487673 | 182971 || 1070864 | 3145509 | 3377936 || 4106858 | 2245529 | 2122615 || 2856872 | 3142197 | 585412
Group1; 114.40892; 2026-07-03 16:03:46.879365; -1218125 | 6921771 | 10151213 || 9499815 | 9580131 | 11855214 || 5235833 | 5666781 | 6616016 || 7062748 | 7553269 | 7464745 || 6970044 | 4489273 | 4388774
Group1; 125.848591; 2026-07-03 16:03:58.319036; 4588012 | 3323989 | 4998796 || 10998565 | 14556385 | 15186402 || 16100927 | 15828713 | 15568144 || 14991087 | 15085655 | 14628996 || 14644284 | 14439395 | 14139257
Group1; 137.288067; 2026-07-03 16:04:09.758512; 13853466 | 13609237 | 13529669 || 13352153 | 13212847 | 12944112 || 13176001 | 12749538 | 12668404 || 13091696 | 13620869 | 11764904 || 11660194 | 11434848 | 12338042
Group1; 148.727489; 2026-07-03 16:04:21.197934; 10826805 | 10623175 | 10547863 || 10396440 | 10427266 | 10331611 || 10129803 | 10248983 | 10230325 || 9784514 | 9789728 | 9670055 || 9258992 | 9115502 | 9020600
Group1; 160.167131; 2026-07-03 16:04:32.637576; 8612093 | 6527264 | 6860751 || 6535194 | 6197955 | 5792113 || 5805767 | 5823875 | 5825450 || 5933792 | 6570474 | 7160496 || 6598569 | 6594002 | 6516502
Group1; 171.590376; 2026-07-03 16:04:44.060821; 6436309 | 6388227 | 6343221 || 6274676 | 6240926 | 6201291 || 6142656 | 6115889 | 6062501 || 5981124 | 5923234 | 5868423 || 5810128 | 5768537 | 5752189
Group1; 183.029277; 2026-07-03 16:04:55.499722; 6236983 | 6044639 | 5845508 || 5714877 | 5565274 | 5526700 || 5526897 | 5502142 | 5486724 || 5481890 | 5933443 | 5581019 || 5594814 | 5738065 | 5564559
