Group1; SecondsElapsed; DateTimePC; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 0.058897; 2026-07-06 07:02:30.347611; New Node Array: 88 89 90 91
Group1; 0.059099; 2026-07-06 07:02:30.347813; 
Group1; 9.194308; 2026-07-06 07:02:39.483022; N88_NTC1 | N88_NTC2 | N88_TestSB || N89_NTC1 | N89_NTC2 | N89_TestSB || N90_NTC1 | N90_NTC2 | N90_TestSB || N91_NTC1 | N91_NTC2 | N91_TestSB
Group1; 18.345976; 2026-07-06 07:02:48.634690; 1565233 | 1557861 | 1560240 || 1557011 | 1558355 | 1558940 || 1553579 | 1558033 | 1558225 || 1554107 | 1552250 | 1550309
Group1; 27.497496; 2026-07-06 07:02:57.786210; 1559606 | 1552902 | 1554479 || 1551119 | 1552409 | 1553249 || 1548090 | 1552527 | 1552802 || 1548456 | 1547272 | 1544990
Group1; 36.633193; 2026-07-06 07:03:06.921907; 1554284 | 1547381 | 1548812 || 1545969 | 1546589 | 1547660 || 1542718 | 1546652 | 1546870 || 1543088 | 1541283 | 1539405
Group1; 45.784792; 2026-07-06 07:03:16.073506; 1548513 | 1541331 | 1543629 || 1540461 | 1542210 | 1542804 || 1537980 | 1542154 | 1541922 || 1538526 | 1536827 | 1535029
Group1; 54.936463; 2026-07-06 07:03:25.225177; 1543666 | 1536697 | 1538864 || 1535829 | 1537914 | 1538586 || 1533588 | 1538141 | 1538117 || 1534131 | 1532920 | 1531366
Group1; 64.087965; 2026-07-06 07:03:34.376679; 1539811 | 1533500 | 1534912 || 1532011 | 1532908 | 1534141 || 1529143 | 1533474 | 1534245 || 1530273 | 1528687 | 1527520
Group1; 73.239609; 2026-07-06 07:03:43.528323; 1535968 | 1528487 | 1531079 || 1527933 | 1529266 | 1530634 || 1525090 | 1528491 | 1529586 || 1524423 | 1523169 | 1522181
Group1; 82.390949; 2026-07-06 07:03:52.679663; 1530326 | 1523833 | 1526182 || 1522854 | 1524493 | 1525300 || 1520528 | 1524421 | 1524271 || 1520651 | 1519476 | 1516644
Group1; 91.542806; 2026-07-06 07:04:01.831520; 1525947 | 1519067 | 1521168 || 1517892 | 1518887 | 1520056 || 1514813 | 1518898 | 1518896 || 1515395 | 1513738 | 1511399
Group1; 100.67832; 2026-07-06 07:04:10.967034; 1520777 | 1513726 | 1515590 || 1512547 | 1512895 | 1513753 || 1508976 | 1512793 | 1512553 || 1508643 | 1507137 | 1504847
Group1; 109.829761; 2026-07-06 07:04:20.118475; 1514310 | 1508185 | 1509233 || 1505565 | 1506037 | 1507239 || 1502206 | 1506146 | 1505922 || 1502077 | 1500418 | 1498360
Group1; 118.981471; 2026-07-06 07:04:29.270185; 1507357 | 1502355 | 1503266 || 1499356 | 1499541 | 1500795 || 1495247 | 1498288 | 1499272 || 1494850 | 1492823 | 1490744
Group1; 128.133096; 2026-07-06 07:04:38.421810; 1500130 | 1493768 | 1495605 || 1492143 | 1492324 | 1493106 || 1487968 | 1491544 | 1492555 || 1487858 | 1486421 | 1484155
Group1; 137.284671; 2026-07-06 07:04:47.573385; 1493509 | 1486791 | 1488883 || 1485266 | 1485071 | 1486217 || 1481250 | 1484462 | 1484393 || 1481240 | 1479536 | 1476310
Group1; 146.43609; 2026-07-06 07:04:56.724804; 1486471 | 1479806 | 1481466 || 1478176 | 1478764 | 1479390 || 1474916 | 1478168 | 1477663 || 1473669 | 1472622 | 1470267
Group1; 155.587868; 2026-07-06 07:05:05.876582; 1479098 | 1473583 | 1474941 || 1471530 | 1471425 | 1472420 || 1468516 | 1470797 | 1470704 || 1467757 | 1465908 | 1463324
Group1; 164.723188; 2026-07-06 07:05:15.011902; 1473127 | 1466255 | 1467839 || 1464495 | 1465263 | 1466398 || 1461360 | 1464408 | 1464991 || 1460938 | 1459689 | 1457581
Group1; 173.874988; 2026-07-06 07:05:24.163702; 1466638 | 1460447 | 1462014 || 1458631 | 1459255 | 1460106 || 1455227 | 1458585 | 1459379 || 1455133 | 1452975 | 1450237
Group1; 183.026556; 2026-07-06 07:05:33.315270; 1460244 | 1452812 | 1455557 || 1452055 | 1453079 | 1453860 || 1449015 | 1452057 | 1452228 || 1449060 | 1447131 | 1444251
Group1; 192.178066; 2026-07-06 07:05:42.466780; 1454192 | 1447572 | 1448626 || 1445703 | 1446122 | 1446710 || 1441454 | 1445353 | 1445795 || 1441544 | 1440360 | 1436891
Group1; 201.329786; 2026-07-06 07:05:51.618500; 1446629 | 1439954 | 1441461 || 1438217 | 1437935 | 1439143 || 1434825 | 1437168 | 1437659 || 1434689 | 1432187 | 1430301
Group1; 210.481276; 2026-07-06 07:06:00.769990; 1439384 | 1432938 | 1434446 || 1431386 | 1430966 | 1432750 || 1427469 | 1430252 | 1430938 || 1426803 | 1424371 | 1421759
Group1; 219.632855; 2026-07-06 07:06:09.921569; 1431235 | 1424801 | 1426623 || 1422341 | 1423331 | 1424284 || 1419605 | 1422633 | 1422920 || 1419639 | 1416890 | 1413412
Group1; 228.768621; 2026-07-06 07:06:19.057335; 1423947 | 1416857 | 1418612 || 1415242 | 1415091 | 1416820 || 1412073 | 1414300 | 1414691 || 1411632 | 1409443 | 1405639
Group1; 237.920037; 2026-07-06 07:06:28.208751; 1415927 | 1408694 | 1410553 || 1407856 | 1407412 | 1408238 || 1402959 | 1406292 | 1406632 || 1402857 | 1401387 | 1398613
Group1; 247.071998; 2026-07-06 07:06:37.360712; 1408080 | 1401324 | 1404155 || 1399405 | 1399123 | 1401587 || 1395872 | 1397913 | 1399441 || 1395115 | 1392767 | 1390674
Group1; 256.223405; 2026-07-06 07:06:46.512119; 1400167 | 1392915 | 1395798 || 1391944 | 1391511 | 1393058 || 1388869 | 1391072 | 1391895 || 1387931 | 1385934 | 1384055
Group1; 265.374746; 2026-07-06 07:06:55.663460; 1392865 | 1386468 | 1388318 || 1384610 | 1384475 | 1386013 || 1380779 | 1383975 | 1384389 || 1380792 | 1379128 | 1376377
Group1; 274.526383; 2026-07-06 07:07:04.815097; 1385442 | 1379392 | 1380634 || 1378110 | 1377975 | 1378442 || 1374708 | 1377100 | 1376531 || 1373743 | 1371780 | 1369709
Group1; 283.677972; 2026-07-06 07:07:13.966686; 1378551 | 1372841 | 1373759 || 1370637 | 1370106 | 1371251 || 1366803 | 1369581 | 1369844 || 1366352 | 1364685 | 1361968
Group1; 292.829478; 2026-07-06 07:07:23.118192; 1371581 | 1364039 | 1366069 || 1363610 | 1362953 | 1363713 || 1359529 | 1362096 | 1362613 || 1358953 | 1357566 | 1355537
Group1; 301.965264; 2026-07-06 07:07:32.253978; 1363878 | 1357409 | 1359773 || 1355255 | 1355147 | 1356170 || 1352135 | 1354288 | 1354585 || 1351705 | 1349781 | 1347186
Group1; 311.116903; 2026-07-06 07:07:41.405617; 1356122 | 1349711 | 1350886 || 1348820 | 1347189 | 1348662 || 1344502 | 1346439 | 1346980 || 1343234 | 1341438 | 1338344
Group1; 320.268432; 2026-07-06 07:07:50.557146; 1347737 | 1341043 | 1342536 || 1339818 | 1338895 | 1340284 || 1336215 | 1338330 | 1337887 || 1335094 | 1333648 | 1329946
Group1; 329.419907; 2026-07-06 07:07:59.708621; 1338769 | 1333138 | 1333925 || 1331391 | 1331130 | 1331855 || 1328095 | 1329481 | 1330232 || 1326927 | 1324813 | 1322466
Group1; 338.571488; 2026-07-06 07:08:08.860202; 1331124 | 1325787 | 1326460 || 1323779 | 1323245 | 1324582 || 1320006 | 1322432 | 1322543 || 1318947 | 1317768 | 1314595
Group1; 347.723186; 2026-07-06 07:08:18.011900; 1323923 | 1317609 | 1319567 || 1316201 | 1315664 | 1317259 || 1312433 | 1314331 | 1314757 || 1311572 | 1309514 | 1307382
Group1; 356.874693; 2026-07-06 07:08:27.163407; 1316186 | 1310079 | 1312050 || 1308267 | 1308180 | 1309560 || 1305129 | 1307230 | 1307754 || 1304211 | 1302248 | 1300230
Group1; 366.010285; 2026-07-06 07:08:36.298999; 1308685 | 1303594 | 1304752 || 1301216 | 1301380 | 1302364 || 1297683 | 1299866 | 1301031 || 1297129 | 1295142 | 1292911
Group1; 375.161872; 2026-07-06 07:08:45.450586; 1301517 | 1295948 | 1296817 || 1293400 | 1293193 | 1293810 || 1290263 | 1292475 | 1291768 || 1289326 | 1287189 | 1285094
Group1; 384.313427; 2026-07-06 07:08:54.602141; 1293791 | 1288135 | 1288750 || 1286214 | 1285228 | 1286606 || 1282113 | 1284697 | 1285152 || 1281310 | 1279792 | 1277429
Group1; 393.465086; 2026-07-06 07:09:03.753800; 1285734 | 1280130 | 1281512 || 1278217 | 1277711 | 1279385 || 1274679 | 1276593 | 1277037 || 1274254 | 1271419 | 1269079
Group1; 402.61678; 2026-07-06 07:09:12.905494; 1278299 | 1272374 | 1273753 || 1270433 | 1270310 | 1271992 || 1266331 | 1268803 | 1269342 || 1266027 | 1263975 | 1261540
Group1; 411.768117; 2026-07-06 07:09:22.056831; 1270810 | 1263642 | 1266055 || 1263182 | 1263151 | 1264027 || 1259681 | 1261453 | 1262005 || 1258358 | 1256716 | 1254745
Group1; 420.919746; 2026-07-06 07:09:31.208460; 1262771 | 1256511 | 1258782 || 1255227 | 1255583 | 1256461 || 1252079 | 1253691 | 1255154 || 1251461 | 1248855 | 1247230
Group1; 430.055495; 2026-07-06 07:09:40.344209; 1255515 | 1249289 | 1251267 || 1248298 | 1247948 | 1249304 || 1245423 | 1247199 | 1247257 || 1243877 | 1241806 | 1240009
Group1; 439.207116; 2026-07-06 07:09:49.495830; 1248099 | 1242232 | 1243966 || 1240210 | 1240061 | 1241421 || 1236882 | 1239458 | 1239714 || 1236410 | 1234257 | 1232226
Group1; 448.358575; 2026-07-06 07:09:58.647289; 1240286 | 1234217 | 1236201 || 1232367 | 1232683 | 1234042 || 1229613 | 1231682 | 1231817 || 1228963 | 1226688 | 1224322
Group1; 457.510504; 2026-07-06 07:10:07.799218; 1232967 | 1226594 | 1228261 || 1225717 | 1225002 | 1226061 || 1222180 | 1224068 | 1224299 || 1221342 | 1219146 | 1216911
Group1; 466.661718; 2026-07-06 07:10:16.950432; 1225362 | 1219234 | 1220589 || 1218271 | 1217238 | 1218720 || 1214644 | 1216090 | 1216395 || 1213653 | 1211902 | 1209599
Group1; 475.813222; 2026-07-06 07:10:26.101936; 1218014 | 1211668 | 1213050 || 1210897 | 1209539 | 1210938 || 1207870 | 1209035 | 1209507 || 1206184 | 1204397 | 1202233
Group1; 484.965056; 2026-07-06 07:10:35.253770; 1210288 | 1204309 | 1205959 || 1203121 | 1202680 | 1203598 || 1199540 | 1201522 | 1201922 || 1199032 | 1197266 | 1195138
Group1; 494.100502; 2026-07-06 07:10:44.389216; 1203463 | 1197255 | 1198893 || 1196502 | 1195454 | 1196685 || 1193047 | 1195361 | 1195095 || 1192158 | 1190302 | 1188098
Group1; 503.252205; 2026-07-06 07:10:53.540919; 1195887 | 1190309 | 1191995 || 1188833 | 1188736 | 1190259 || 1185528 | 1187822 | 1187738 || 1184741 | 1182893 | 1180404
Group1; 512.40354; 2026-07-06 07:11:02.692254; 1188661 | 1182937 | 1184378 || 1181641 | 1181562 | 1182448 || 1178772 | 1180401 | 1180013 || 1177738 | 1175446 | 1172736
Group1; 521.555341; 2026-07-06 07:11:11.844055; 1181255 | 1176981 | 1176831 || 1173664 | 1173580 | 1174982 || 1170482 | 1172718 | 1173546 || 1169577 | 1167956 | 1165641
Group1; 530.706734; 2026-07-06 07:11:20.995448; 1173146 | 1167450 | 1169923 || 1165956 | 1166524 | 1167750 || 1162765 | 1165854 | 1165994 || 1162451 | 1160991 | 1158767
Group1; 539.859064; 2026-07-06 07:11:30.147778; 1166148 | 1160724 | 1162137 || 1158821 | 1158994 | 1160357 || 1155786 | 1157916 | 1158501 || 1155439 | 1153244 | 1151933
Group1; 549.010161; 2026-07-06 07:11:39.298875; 1159178 | 1153637 | 1155723 || 1152137 | 1151960 | 1153511 || 1148845 | 1151181 | 1150984 || 1148553 | 1146193 | 1143805
Group1; 558.161488; 2026-07-06 07:11:48.450202; 1152463 | 1146835 | 1147296 || 1145263 | 1144943 | 1145770 || 1142449 | 1144297 | 1144644 || 1142283 | 1139535 | 1137448
Group2; SecondsElapsed; DateTimePC; N92_NTC1 | N92_NTC2 | N92_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N94_NTC1 | N94_NTC2 | N94_TestSB || N96_NTC1 | N96_NTC2 | N96_TestSB
Group2; 558.219829; 2026-07-06 07:11:48.508543; New Node Array: 92 93 94 96
