Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB || N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB || N86_NTC1 | N86_NTC2 | N86_TestSB || N87_NTC1 | N87_NTC2 | N87_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB
Group1; 0.073502; 2026-07-07 11:06:17.784202; New Node Array: 95 13 18 19 25 26 28 35 62 85 86 87 98; TOFFMS=0
Group1; 0.8094; 2026-07-07 11:06:18.520100; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB || N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB || N86_NTC1 | N86_NTC2 | N86_TestSB || N87_NTC1 | N87_NTC2 | N87_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7631|8400|9151|9919|10672|11439|12207|12959|13727|14495|15247|16015|16783|17535|18303|19071|19823|20591|21359|22112|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 30.552254; 2026-07-07 11:06:48.262954; 863510 | 865325 | 866146 || 864414 | 864407 | 866677 || 865196 | 864281 | 864994 || 865572 | 864062 | 864422 || 864372 | 866294 | 867087 || 865306 | 866584 | 866935 || 864966 | 16777216 | 867397 || 869324 | 866142 | 864748 || 866255 | 869835 | 868481 || 868113 | 866732 | 866233 || 870225 | 870921 | 869727 || 871187 | 871255 | 871875 || 871894 | 873790 | 873041; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9136|9903|10671|11423|12191|12960|13711|14479|15247|15999|16768|17535|18287|19055|19823|20575|21343|22111|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 60.278913; 2026-07-07 11:07:17.989613; 872119 | 874422 | 875548 || 873279 | 874091 | 877509 || 873374 | 872181 | 875163 || 876122 | 876595 | 877791 || 877348 | 879848 | 880990 || 879334 | 880971 | 881810 || 879957 | 16777216 | 883555 || 885075 | 882759 | 881737 || 883365 | 887428 | 886475 || 884275 | 883373 | 881517 || 887373 | 888582 | 887598 || 889808 | 889269 | 890164 || 890247 | 892770 | 891182; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9919|10672|11439|12191|12959|13727|14495|15248|16015|16768|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 90.005727; 2026-07-07 11:07:47.716427; 891006 | 893364 | 894148 || 891803 | 893302 | 896918 || 890656 | 889776 | 895189 || 895254 | 895639 | 896580 || 896605 | 899249 | 900545 || 898478 | 900782 | 901577 || 899548 | 16777216 | 903023 || 904115 | 902379 | 901418 || 902560 | 906872 | 905769 || 903421 | 902872 | 901908 || 906246 | 908596 | 907012 || 909176 | 909321 | 909076 || 909877 | 912165 | 910581; TOFFMS=0|768|1537|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9919|10687|11439|12207|12975|13727|14495|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28223|28975
Group1; 119.748607; 2026-07-07 11:08:17.459307; 910351 | 912580 | 912967 || 911619 | 912106 | 915429 || 910145 | 908164 | 913649 || 913735 | 913983 | 915044 || 914512 | 917300 | 918132 || 916598 | 918530 | 919175 || 917721 | 16777216 | 920994 || 922458 | 919976 | 918947 || 920189 | 924270 | 922928 || 920892 | 919881 | 919993 || 924412 | 925431 | 924043 || 926065 | 925859 | 926031 || 926780 | 929048 | 926707; TOFFMS=0|768|1520|2288|3040|3808|4576|5328|6095|6863|7615|8384|9151|9903|10671|11439|12191|12959|13727|14479|15247|16015|16767|17535|18303|19055|19823|20575|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 149.475029; 2026-07-07 11:08:47.185729; 927049 | 928970 | 929484 || 928258 | 928809 | 931462 || 927427 | 925837 | 929683 || 930190 | 930113 | 930779 || 930865 | 933337 | 934490 || 932485 | 934285 | 935142 || 933546 | 16777216 | 936420 || 938246 | 935252 | 934592 || 935601 | 939756 | 939064 || 936903 | 935676 | 934010 || 939594 | 940416 | 939677 || 941743 | 941374 | 941777 || 942506 | 944458 | 941165; TOFFMS=0|768|1536|2288|3056|3809|4576|5344|6096|6864|7632|8384|9152|9920|10672|11440|12208|12960|13728|14496|15248|16016|16783|17535|18303|19071|19824|20592|21343|22112|22880|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 179.217986; 2026-07-07 11:09:16.928686; 942363 | 944536 | 944574 || 943625 | 943604 | 946254 || 942982 | 941611 | 944770 || 945839 | 945002 | 945816 || 945882 | 948322 | 949797 || 947611 | 949465 | 950142 || 948691 | 16777216 | 951974 || 953873 | 950747 | 949898 || 951164 | 955011 | 953881 || 952120 | 951097 | 949218 || 955139 | 956521 | 954609 || 957281 | 956406 | 956803 || 957428 | 959775 | 956946; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9136|9904|10672|11424|12192|12960|13711|14480|15248|15999|16767|17535|18287|19055|19823|20575|21343|22111|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 208.944912; 2026-07-07 11:09:46.655612; 957825 | 959810 | 960208 || 958904 | 959413 | 962274 || 958750 | 957117 | 959143 || 961155 | 961076 | 961751 || 961872 | 963929 | 965405 || 963433 | 965116 | 966141 || 964219 | 16777216 | 967261 || 969335 | 966344 | 964806 || 966547 | 970179 | 968933 || 966982 | 965921 | 966160 || 970345 | 971754 | 970316 || 972384 | 972221 | 972670 || 973040 | 974824 | 973043; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7631|8384|9151|9904|10671|11439|12191|12960|13728|14479|15248|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27439|28207|28975
Group1; 238.671643; 2026-07-07 11:10:16.382343; 973330 | 975316 | 976088 || 974079 | 974665 | 977807 || 973743 | 971671 | 976275 || 976601 | 976566 | 977021 || 977421 | 979569 | 980661 || 979007 | 980981 | 981206 || 979791 | 16777216 | 982908 || 984586 | 981550 | 980590 || 981635 | 986196 | 985462 || 982606 | 981285 | 980475 || 985772 | 987567 | 985923 || 987962 | 987596 | 988330 || 988239 | 990608 | 988513; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9920|10672|11440|12207|12959|13727|14496|15247|16016|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24400|25167|25935|26687|27455|28207|28975
