Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB
Group1; 0.021107; 2026-07-07 13:33:29.071362; 679786 | 1334608 | 1334809; TOFFMS=0|0|0
Group1; 0.021564; 2026-07-07 13:33:29.071819; 1333753 | 1336864 | 1337027; TOFFMS=0|0|0
Group1; 0.022124; 2026-07-07 13:33:29.072379; 1336980 | 1339859 | 1339924; TOFFMS=0|0|0
Group1; 0.022649; 2026-07-07 13:33:29.072904; 1340257 | 1343202 | 1343324; TOFFMS=0|0|0
Group1; 0.023295; 2026-07-07 13:33:29.073550; 1343216 | 1346422 | 1346938; TOFFMS=0|0|0
Group1; 0.024751; 2026-07-07 13:33:29.075006; 1346491 | 1349570 | 1350247; TOFFMS=0|0|0
Group1; 0.026231; 2026-07-07 13:33:29.076486; 1350208 | 1353360 | 1353775; TOFFMS=0|0|0
Group1; 0.026859; 2026-07-07 13:33:29.077114; 1353468 | 1356346 | 1356431; TOFFMS=0|0|0
Group1; 0.027389; 2026-07-07 13:33:29.077644; 1356879 | 1360102 | 1360335; TOFFMS=0|0|0
Group1; 0.02765; 2026-07-07 13:33:29.077905; 1358495 | 1361787 | 1361883; TOFFMS=0|0|0
Group1; 0.027869; 2026-07-07 13:33:29.078124; 1360063 | 1363619 | 1363439; TOFFMS=0|0|0
Group1; 3.078106; 2026-07-07 13:33:32.128361; 1363377 | 1366259 | 1367116; TOFFMS=0|751|1519
Group1; 5.365472; 2026-07-07 13:33:34.415727; 1364669 | 1367812 | 1368985; TOFFMS=0|752|1520
Group1; 7.653436; 2026-07-07 13:33:36.703691; 1366559 | 1369851 | 1370285; TOFFMS=0|752|1520
Group1; 9.941349; 2026-07-07 13:33:38.991604; 1368365 | 1371529 | 1371767; TOFFMS=0|752|1520
Group1; 12.229582; 2026-07-07 13:33:41.279837; 1370260 | 1373170 | 1373526; TOFFMS=0|752|1520
Group1; 14.517181; 2026-07-07 13:33:43.567436; 1371446 | 1374764 | 1374900; TOFFMS=0|753|1520
Group1; 16.80501; 2026-07-07 13:33:45.855265; 1373456 | 1376044 | 1376287; TOFFMS=0|752|1520
Group1; 19.093163; 2026-07-07 13:33:48.143418; 1374310 | 1377632 | 1378021; TOFFMS=0|752|1520
Group1; 21.38094; 2026-07-07 13:33:50.431195; 1376233 | 1379489 | 1379612; TOFFMS=0|752|1520
Group1; 23.668801; 2026-07-07 13:33:52.719056; 1378150 | 1380774 | 1381256; TOFFMS=0|752|1520
Group1; 25.957171; 2026-07-07 13:33:55.007426; 1379503 | 1382955 | 1382949; TOFFMS=0|752|1520
Group1; 28.24452; 2026-07-07 13:33:57.294775; 1381339 | 1384098 | 1384291; TOFFMS=0|752|1520
Group1; 30.532839; 2026-07-07 13:33:59.583094; 1382111 | 1385417 | 1385770; TOFFMS=0|752|1520
Group1; 32.820825; 2026-07-07 13:34:01.871080; 1384173 | 1386921 | 1386858; TOFFMS=0|752|1520
Group1; 35.108385; 2026-07-07 13:34:04.158640; 1385514 | 1388392 | 1388567; TOFFMS=0|752|1520
Group1; 37.396207; 2026-07-07 13:34:06.446462; 1387223 | 1389837 | 1390642; TOFFMS=0|752|1520
Group1; 39.68403; 2026-07-07 13:34:08.734285; 1388853 | 1391983 | 1391984; TOFFMS=0|752|1520
Group1; 41.972008; 2026-07-07 13:34:11.022263; 1390535 | 1393909 | 1393878; TOFFMS=0|752|1520
