"node","channel","a","b","c","d","source","note"
"N29","NTC1",0.000937418196514098,0.00025193412159008,-1.15099944021371e-06,2.52709641949891e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N29","NTC2",0.000844434230006703,0.000274695002737686,-2.95964923648268e-06,2.98245321225288e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N29","TestSB",0.000826932376832698,0.000279104445485157,-3.31586132425101e-06,3.08381717136317e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N88","NTC1",0.000860585919048615,0.000270176835238974,-2.549375406413e-06,2.85908777776795e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N88","NTC2",0.00083731211933443,0.000276535742191187,-3.09659273508019e-06,3.01972255587449e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N88","TestSB",0.000629165733560618,0.000340398896051692,-9.6290312933973e-06,5.24339883227881e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N89","NTC1",0.000885511346857521,0.000263269884606495,-1.89508000545251e-06,2.66038749047253e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N89","NTC2",0.000848450947237153,0.000273178334717336,-2.79163870080382e-06,2.92863917619033e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N89","TestSB",0.00093801068316344,0.000252635088165353,-1.31265164374681e-06,2.61086894644554e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N90","NTC1",0.000851428584030472,0.000272522355384316,-2.73117055183959e-06,2.91433212042263e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N90","NTC2",0.00086277565575965,0.000269422656468964,-2.44786107687557e-06,2.81732350247592e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N90","TestSB",0.000886710580143996,0.000262667489092745,-1.82189228659024e-06,2.62665572219161e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N91","NTC1",0.00094231339250693,0.000251655386418676,-1.23254447350982e-06,2.59368106538121e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N91","NTC2",0.000859239729694761,0.000270848852503852,-2.60465949982056e-06,2.87704990529214e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N91","TestSB",0.000819316957926951,0.000281112076484068,-3.47870965579517e-06,3.12380152985227e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N92","NTC1",0.0010163680412016,0.000233091627875231,2.91746687057317e-07,2.18588561730546e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N92","NTC2",0.000842552486480565,0.000274926826026307,-2.94751029732664e-06,2.97743266686898e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N92","TestSB",0.000817734855023083,0.000281382175686547,-3.51394167708668e-06,3.13712603177481e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N93","NTC1",0.00081760847519395,0.000282953696005322,-3.81399015531745e-06,3.28005040947748e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N93","NTC2",0.000847018480266113,0.000273203956284776,-2.7649031664982e-06,2.91833432170934e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N93","TestSB",0.000836521765581019,0.000276273411796307,-3.0293077020827e-06,2.984537104729e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N94","NTC1",0.000866813234993,0.000268428268777454,-2.37002535818733e-06,2.79770612450963e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N94","NTC2",0.000847773401706993,0.000273681672973322,-2.84733959156508e-06,2.94358928424067e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N94","TestSB",0.000826506992892009,0.000278806531137511,-3.2567236751893e-06,3.04814523747556e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N96","NTC1",0.00084982297129232,0.00027316360946261,-2.79336751091274e-06,2.9234936203516e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N96","NTC2",0.000821054075838273,0.000280479733002037,-3.42011962589394e-06,3.10027596728859e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N96","TestSB",9.41243361880953e-05,0.000483527284748672,-2.23305484870549e-05,8.98409592655471e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N97","NTC1",0.000842249778134068,0.000274942022203055,-2.94782604658865e-06,2.9802440658817e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N97","NTC2",0.000821192612931485,0.000280765401502797,-3.47823203684841e-06,3.13204186980428e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N97","TestSB",0.000459122655148516,0.00038228447920067,-1.29675823972443e-05,6.08919375153205e-07,"SM2","SM curve reused (no fresh fit: <4 plateaus)"
"N98","NTC1",0.000866713745396219,0.000268545450389976,-2.38857340526329e-06,2.80850123474134e-07,"SM2","faulty in this run - SM curve reused (was OK earlier today)"
"N98","NTC2",0.000856409300265156,0.000270844809387832,-2.56507028974278e-06,2.85333582293942e-07,"SM2","faulty in this run - SM curve reused (was OK earlier today)"
"N98","TestSB",0.000884293665868661,0.00026319433304015,-1.84412420859981e-06,2.6281212903805e-07,"SM2","faulty in this run - SM curve reused (was OK earlier today)"
