"plateau","setpoint_C","node","channel","flag","Tref_C","Tref_K","counts_mean","R_mean","T_meanS4_C","resid_mK","T_SM_C","bias_SM_mK","n_sprt"
1,-5,"N29","NTC1","ok",-5.30265574008507,267.847344259915,1052369,34625.2522635107,-5.32719200168026,-24.5362615951876,-5.30825634580253,-5.6,33
1,-5,"N29","NTC2","ok",-5.30265574008507,267.847344259915,1053976.66666667,34683.6592383568,-5.36474850196663,-62.0927618815585,-5.29714454910447,5.5,33
1,-5,"N29","TestSB","ok",-5.30265574008507,267.847344259915,1049985.66666667,34538.6992515353,-5.27140596937949,31.2497707055854,-5.29313335553445,9.5,33
1,-5,"N88","NTC1","ok",-5.30265574008507,267.847344259915,1055005,34721.028609048,-5.38874023207597,-86.0844919909027,-5.29687720377774,5.8,33
1,-5,"N88","NTC2","ok",-5.30265574008507,267.847344259915,1049747,34530.0340906364,-5.26581235372464,36.8433863604309,-5.29953703741251,3.1,33
1,-5,"N88","TestSB","ok",-5.30265574008507,267.847344259915,1051487,34593.2168438218,-5.30656250750394,-3.90676741886864,-5.31329013529461,-10.6,33
1,-5,"N89","NTC1","ok",-5.30265574008507,267.847344259915,1050717,34565.2539797432,-5.28853800001286,14.1177400722086,-5.30599002552094,-3.3,33
1,-5,"N89","NTC2","ok",-5.30265574008507,267.847344259915,1053454.5,34664.6867433288,-5.35255672830147,-49.9009882163932,-5.31181499892136,-9.2,33
1,-5,"N89","TestSB","ok",-5.30265574008507,267.847344259915,1053263.5,34657.7474051302,-5.3480956172034,-45.4398771183264,-5.31659753471553,-13.9,33
1,-5,"N90","NTC1","ok",-5.30265574008507,267.847344259915,1050206,34546.6991553691,-5.2765687409011,26.0869991839741,-5.31422484598772,-11.6,33
1,-5,"N90","NTC2","ok",-5.30265574008507,267.847344259915,1053833.5,34678.4572007528,-5.36140640587553,-58.7506657904555,-5.31460456087945,-11.9,33
1,-5,"N90","TestSB","ok",-5.30265574008507,267.847344259915,1054041.5,34686.0150407278,-5.36626182302905,-63.6060829439771,-5.31535353813865,-12.7,33
1,-5,"N91","NTC1","ok",-5.30265574008507,267.847344259915,1051278,34585.6265027685,-5.30167149084019,0.98424924487972,-5.33123805431438,-28.6,33
1,-5,"N91","NTC2","ok",-5.30265574008507,267.847344259915,1050720,34565.3629177091,-5.28860825186371,14.0474882213653,-5.31792781639109,-15.3,33
1,-5,"N91","TestSB","ok",-5.30265574008507,267.847344259915,1050948.5,34573.6605492742,-5.29395849180241,8.69724828265817,-5.32600151736165,-23.3,33
1,-5,"N92","NTC1","ok",-5.30265574008507,267.847344259915,1051783.5,34603.9854972141,-5.31349947457875,-10.843734493676,-5.34188281523535,-39.2,33
1,-5,"N92","NTC2","ok",-5.30265574008507,267.847344259915,1051382,34589.4034753904,-5.30410542381873,-1.44968373365373,-5.32933468737326,-26.7,33
1,-5,"N92","TestSB","ok",-5.30265574008507,267.847344259915,1054485.75,34702.1582470162,-5.37662879161189,-73.9730515268207,-5.33075946035808,-28.1,33
1,-5,"N93","NTC1","ok",-5.30265574008507,267.847344259915,1055016,34721.4283873127,-5.388996739042,-86.3409989569277,-5.33165260449164,-29,33
1,-5,"N93","NTC2","ok",-5.30265574008507,267.847344259915,1052432,34627.5407215029,-5.32866485297575,-26.0091128906765,-5.32947998811358,-26.8,33
1,-5,"N93","TestSB","ok",-5.30265574008507,267.847344259915,1051454.75,34592.0455865254,-5.30580785879221,-3.15211870713483,-5.32524039098479,-22.6,33
