Group1; SecondsElapsed; DateTimePC; N91_NTC1 | N91_NTC2 | N91_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N29_NTC1 | N29_NTC2 | N29_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB || N99_NTC1 | N99_NTC2 | N99_TestSB
Group1; 0.077205; 2026-07-03 12:06:44.327167; New Node Array: 91 93 29 98 99
Group1; 0.077758; 2026-07-03 12:06:44.327720; 
Group1; 11.484388; 2026-07-03 12:06:55.734350; N91_NTC1 | N91_NTC2 | N91_TestSB || N93_NTC1 | N93_NTC2 | N93_TestSB || N29_NTC1 | N29_NTC2 | N29_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB || N99_NTC1 | N99_NTC2 | N99_TestSB
Group1; 22.924125; 2026-07-03 12:07:07.174087; 1283490 | 1280656 | 1280581 || 1287018 | 1283280 | 1280913 || 1285208 | 1286946 | 1281328 || 1284878 | 1285232 | 1282563 || 1287100 | 1283454 | 1281371
Group1; 34.363834; 2026-07-03 12:07:18.613796; 1282894 | 1280242 | 1280304 || 1286746 | 1283357 | 1280578 || 1285386 | 1287178 | 1281265 || 1285332 | 1285441 | 1282997 || 1287476 | 1283740 | 1281063
Group1; 45.78688; 2026-07-03 12:07:30.036842; 1282936 | 1280105 | 1280322 || 1286616 | 1283411 | 1280796 || 1285608 | 1287110 | 1280692 || 1285861 | 1284978 | 1283115 || 1287746 | 1283766 | 1281289
Group1; 57.22764; 2026-07-03 12:07:41.477602; 1283157 | 1280400 | 1280968 || 1286850 | 1283288 | 1280834 || 1285490 | 1287238 | 1281672 || 1286046 | 1285803 | 1282730 || 1287930 | 1284312 | 1281431
Group1; 68.666906; 2026-07-03 12:07:52.916868; 1283488 | 1279664 | 1208075 || 4958159 | 5188182 | 5426875 || 6040138 | 6617664 | 7859709 || 16777216 | 16777216 | 16777216 || 16777216 | 16777216 | 16777216
Group1; 80.105942; 2026-07-03 12:08:04.355904; 16777216 | 16777216 | 16777216 || 16777216 | 16777216 | 16777216 || 16777216 | 16777216 | 16777216 || 16777216 | 16777216 | 16777216 || 16777216 | 16777216 | 16777216
Group1; 91.545313; 2026-07-03 12:08:15.795275; 16777216 | 16777216 | 16777216 || 16777216 | 16777216 | 16674147 || 16487381 | 16334167 | 16179815 || 16004971 | 15858456 | 15711562 || 15548314 | 15410808 | 15272406
Group1; 102.984884; 2026-07-03 12:08:27.234846; 15111632 | 14984109 | 14851834 || 14701399 | 14581779 | 14456870 || 14312305 | 14196646 | 14077394 || 13936256 | 13829603 | 13715307 || 13588354 | 13485997 | 13383963
Group1; 114.424476; 2026-07-03 12:08:38.674438; 13255684 | 13161475 | 13059905 || 12940799 | 12850676 | 12757088 || 12635508 | 12550121 | 12461243 || 12351455 | 12268728 | 12184072 || 12075750 | 11996775 | 11913775
Group1; 125.863809; 2026-07-03 12:08:50.113771; 11808948 | 11732449 | 11654648 || 11555315 | 11482737 | 11403814 || 11304540 | 11237241 | 11162080 || 11062827 | 10993505 | 10922512 || 10825349 | 10764831 | 10698302
Group1; 137.303543; 2026-07-03 12:09:01.553505; 10645325 | 10841558 | 10936582 || 11141309 | 11079099 | 11958773 || 11742013 | 11879657 | 16777216 || 15452571 | 14986122 | 15107902 || 16777216 | 16777216 | 16777216
Group1; 148.742957; 2026-07-03 12:09:12.992919; 16777216 | 16777216 | 16777216 || 16777216 | 13645910 | 12349193 || 15915014 | 12491695 | 11357297 || 9370831 | 7221668 | 7609844 || 7135212 | 7212743 | 7169594
Group1; 160.18276; 2026-07-03 12:09:24.432722; 8253405 | 6312252 | 3380728 || 6304263 | 8655698 | 6949253 || 1727925 | 1589602 | 1192761 || 2599222 | 4925985 | 4147393 || 3149059 | 2320493 | 2455042
Group1; 171.622806; 2026-07-03 12:09:35.872768; 2407394 | 2495794 | 1338570 || 979441 | 1334985 | 1413136 || 1284761 | 1819741 | 1925200 || 16777216 | 2314139 | 3787693 || 6134647 | 8479758 | 8769193
Group1; 183.062269; 2026-07-03 12:09:47.312231; 8494950 | 6371558 | 5347175 || 7054012 | 11429302 | 6126640 || 3058938 | 2710892 | 4060726 || 5306309 | 6544505 | 7046283 || 7136132 | 7273047 | 3975724
Group1; 194.497562; 2026-07-03 12:09:58.747524; 7350803 | 7177226 | 6376831 || 1286667 | 1283038 | 1280867 || 1285227 | 1286986 | 1281204 || 1285042 | 1284891 | 1282659 || 1287035 | 1283261 | 1281255
Group1; 205.933165; 2026-07-03 12:10:10.183127; 1283026 | 1280322 | 1280631 || 1286974 | 1284005 | 1281793 || 1285816 | 1287720 | 1281593 || 1285632 | 1285642 | 1282050 || 1287199 | 1284024 | 1281253
Group1; 217.372094; 2026-07-03 12:10:21.622056; 1282851 | 1279552 | 1280319 || 1286809 | 1283591 | 1281062 || 1285680 | 1287568 | 1281739 || 1285913 | 1286164 | 1282375 || 1287753 | 1284340 | 1281511
Group1; 228.79444; 2026-07-03 12:10:33.044402; 1283058 | 1279961 | 1280210 || 1286684 | 1280908 | 1280957 || 1285216 | 1287006 | 1281361 || 1285250 | 1285765 | 1282868 || 1287191 | 1283722 | 1282183
Group1; 240.234219; 2026-07-03 12:10:44.484181; 1283100 | 1280753 | 1280290 || 1286757 | 1281472 | 1281332 || 1285173 | 1286752 | 1281150 || 1284749 | 1285299 | 1282434 || 1286685 | 1283433 | 1281668
Group1; 251.672908; 2026-07-03 12:10:55.922870; 1282624 | 1280329 | 1280275 || 1286284 | 1280997 | 1281140 || 1285087 | 1286925 | 1281251 || 1285139 | 1285387 | 1283039 || 1287006 | 1283236 | 1281664
Group1; 263.113614; 2026-07-03 12:11:07.363576; 1282728 | 1280097 | 1280503 || 1286433 | 1280355 | 1281169 || 1284992 | 1286861 | 1281416 || 1285153 | 1285193 | 1283048 || 1287218 | 1283798 | 1282240
Group1; 274.552152; 2026-07-03 12:11:18.802114; 1283154 | 1280777 | 1280770 || 1286786 | 1281339 | 1281785 || 1285484 | 1287282 | 1281584 || 1285150 | 1285465 | 1282889 || 1286596 | 1283281 | 1281987
Group1; 285.975519; 2026-07-03 12:11:30.225481; 1282869 | 1279924 | 1280597 || 1286677 | 1280464 | 1281371 || 1285382 | 1287167 | 1281676 || 1285439 | 1285955 | 1283229 || 1287356 | 1283884 | 1282117
Group1; 297.415295; 2026-07-03 12:11:41.665257; 1283053 | 1280543 | 1280439 || 1286678 | 1281007 | 1281138 || 1285294 | 1287272 | 1281582 || 1285739 | 1286107 | 1283067 || 1287495 | 1284059 | 1282002
Group1; 308.855688; 2026-07-03 12:11:53.105650; 1283081 | 1280455 | 1279956 || 1286604 | 1281019 | 1281461 || 1285464 | 1287680 | 1281785 || 1285933 | 1286723 | 1282901 || 1287703 | 1284540 | 1282572
