"plateau","setpoint_C","node","channel","Tref_C","bias_SM_mK"
1,-5,"N29","NTC1",-5.30265574008507,-5.6
1,-5,"N29","NTC2",-5.30265574008507,5.5
1,-5,"N29","TestSB",-5.30265574008507,9.5
1,-5,"N88","NTC1",-5.30265574008507,5.8
1,-5,"N88","NTC2",-5.30265574008507,3.1
1,-5,"N88","TestSB",-5.30265574008507,-10.6
1,-5,"N89","NTC1",-5.30265574008507,-3.3
1,-5,"N89","NTC2",-5.30265574008507,-9.2
1,-5,"N89","TestSB",-5.30265574008507,-13.9
1,-5,"N90","NTC1",-5.30265574008507,-11.6
1,-5,"N90","NTC2",-5.30265574008507,-11.9
1,-5,"N90","TestSB",-5.30265574008507,-12.7
1,-5,"N91","NTC1",-5.30265574008507,-28.6
1,-5,"N91","NTC2",-5.30265574008507,-15.3
1,-5,"N91","TestSB",-5.30265574008507,-23.3
1,-5,"N92","NTC1",-5.30265574008507,-39.2
1,-5,"N92","NTC2",-5.30265574008507,-26.7
1,-5,"N92","TestSB",-5.30265574008507,-28.1
1,-5,"N93","NTC1",-5.30265574008507,-29
1,-5,"N93","NTC2",-5.30265574008507,-26.8
1,-5,"N93","TestSB",-5.30265574008507,-22.6
1,-5,"N94","NTC1",-5.30265574008507,-25.2
1,-5,"N94","NTC2",-5.30265574008507,-23.2
1,-5,"N94","TestSB",-5.30265574008507,-17.6
1,-5,"N96","NTC1",-5.30265574008507,-19.3
1,-5,"N96","NTC2",-5.30265574008507,-17.8
1,-5,"N96","TestSB",-5.30265574008507,-33.9
1,-5,"N97","NTC1",-5.30265574008507,10.2
1,-5,"N97","NTC2",-5.30265574008507,9.5
1,-5,"N97","TestSB",-5.30265574008507,5.8
1,-5,"N99","NTC1",-5.30265574008507,1.3
1,-5,"N99","NTC2",-5.30265574008507,8.1
1,-5,"N99","TestSB",-5.30265574008507,15
2,-10,"N29","NTC1",-10.2939670433227,-8.8
2,-10,"N29","NTC2",-10.2939670433227,4.9
2,-10,"N29","TestSB",-10.2939670433227,11.7
2,-10,"N88","NTC1",-10.2939670433227,-0.6
2,-10,"N88","NTC2",-10.2939670433227,-3.6
2,-10,"N88","TestSB",-10.2939670433227,-20.9
2,-10,"N89","NTC1",-10.2939670433227,-7.1
2,-10,"N89","NTC2",-10.2939670433227,-12.4
2,-10,"N89","TestSB",-10.2939670433227,-17.9
2,-10,"N90","NTC1",-10.2939670433227,-10.5
2,-10,"N90","NTC2",-10.2939670433227,-12.1
2,-10,"N90","TestSB",-10.2939670433227,-14.6
2,-10,"N91","NTC1",-10.2939670433227,-32.3
2,-10,"N91","NTC2",-10.2939670433227,-18.4
2,-10,"N91","TestSB",-10.2939670433227,-25.5
2,-10,"N92","NTC1",-10.2939670433227,-33.1
2,-10,"N92","NTC2",-10.2939670433227,-19.2
2,-10,"N92","TestSB",-10.2939670433227,-21.5
2,-10,"N93","NTC1",-10.2939670433227,-21.8
2,-10,"N93","NTC2",-10.2939670433227,-19.9
2,-10,"N93","TestSB",-10.2939670433227,-18
2,-10,"N94","NTC1",-10.2939670433227,-17.8
2,-10,"N94","NTC2",-10.2939670433227,-17.8
2,-10,"N94","TestSB",-10.2939670433227,-15.2
2,-10,"N96","NTC1",-10.2939670433227,-13.2
2,-10,"N96","NTC2",-10.2939670433227,-14.5
2,-10,"N96","TestSB",-10.2939670433227,-34.7
2,-10,"N97","NTC1",-10.2939670433227,8.6
2,-10,"N97","NTC2",-10.2939670433227,9.1
2,-10,"N97","TestSB",-10.2939670433227,4.5
2,-10,"N99","NTC1",-10.2939670433227,1.3
2,-10,"N99","NTC2",-10.2939670433227,6
2,-10,"N99","TestSB",-10.2939670433227,12.9
