"sensor","node","channel","a","b","c","d","n_plateaus","Trange","u_insample_mK","U_2u_mK","bias_SM2_mK","indiv_drift_mK_day"
"N13_NTC1","N13","NTC1",0.000800936028330165,0.00028612698853445,-3.94501162447646e-06,3.26684370285831e-07,15,"-35..3",0.97,2.56,-4.7,0.84
"N13_NTC2","N13","NTC2",0.000803884393075207,0.000285178170953402,-3.84651059020106e-06,3.2343912631875e-07,15,"-35..3",0.91,2.45,-5,0.78
"N13_TestSB","N13","TestSB",0.00080078642227566,0.000285478368254354,-3.86031059880309e-06,3.24034769308816e-07,15,"-35..3",1.15,3.13,-8,1.38
"N18_NTC1","N18","NTC1",0.000835701084151175,0.000276382933446145,-3.05965810825855e-06,3.00203386945683e-07,15,"-35..3",0.46,1.17,-6.5,-0.45
"N18_NTC2","N18","NTC2",0.000854057276487368,0.000271521877114609,-2.61572105903071e-06,2.86463312548505e-07,15,"-35..3",0.46,1.21,-7.6,-0.32
"N18_TestSB","N18","TestSB",0.00083042541757262,0.000277653644376901,-3.15456601978034e-06,3.02680253176375e-07,15,"-35..3",0.92,2.47,-8.1,0.48
"N19_NTC1","N19","NTC1",0.000832117455319586,0.000277226976383292,-3.11187522707652e-06,3.00768385846746e-07,15,"-35..3",1.1,2.84,-6.3,1.9
"N19_NTC2","N19","NTC2",0.000824346193767207,0.000279301127359625,-3.29191374993977e-06,3.06511191659677e-07,15,"-35..3",1.04,2.82,-6.7,0.95
"N19_TestSB","N19","TestSB",0.000814912474263175,0.000281895788747698,-3.53104662318515e-06,3.13847106714468e-07,15,"-35..3",1.2,3.22,-7.2,0.82
"N25_NTC1","N25","NTC1",0.00081715408003805,0.000281630436698132,-3.52527805984858e-06,3.13736593276782e-07,15,"-35..3",1.27,3.43,-7.2,1.71
"N25_NTC2","N25","NTC2",0.000792495315351083,0.000287989317710009,-4.08838027372543e-06,3.3058820219442e-07,15,"-35..3",1.32,3.53,-5,1.88
"N25_TestSB","N25","TestSB",0.000797413900623882,0.000286797166931386,-3.99437982010848e-06,3.27966770496781e-07,15,"-35..3",1.02,2.65,-8.9,1.44
"N26_NTC1","N26","NTC1",0.000785851700364249,0.000290755425607809,-4.43988975084178e-06,3.44925394277973e-07,15,"-35..3",1.96,4.47,16.9,-6.1
"N26_NTC2","N26","NTC2",0.000762677734836279,0.000297167374108846,-5.01657166596288e-06,3.61378313989347e-07,15,"-35..3",1.84,4.08,-75.9,-4.8
"N26_TestSB","N26","TestSB",0.000828162363678496,0.000278595236471342,-3.27210119182184e-06,3.07046751483997e-07,15,"-35..3",1.34,3.01,-89.9,-2.88
"N28_NTC1","N28","NTC1",0.000683003096864038,0.000319098046041759,-7.00643504685336e-06,4.21534077673068e-07,15,"-35..3",1.22,2.96,-1.9,0.02
"N28_TestSB","N28","TestSB",0.000713852847898088,0.000309647567764711,-6.07196057640339e-06,3.90931088890512e-07,15,"-35..3",1.85,4.98,-9.7,1.6
"N35_NTC1","N35","NTC1",0.000724444605730961,0.000307526684357124,-5.96056334430038e-06,3.8961609909651e-07,15,"-35..3",0.98,2.66,-3.1,0.18
"N35_NTC2","N35","NTC2",0.000688124659431376,0.000317457896283421,-6.85135309886374e-06,4.16922199473941e-07,15,"-35..3",1.28,3.42,-1.3,0.42
"N35_TestSB","N35","TestSB",0.000716606688998478,0.000309518063308677,-6.1061346952815e-06,3.93886910004219e-07,15,"-35..3",1.46,3.81,-3.4,0.31
"N62_NTC1","N62","NTC1",0.000682487006178112,0.000319081831576152,-7.01296855817075e-06,4.22532640752563e-07,15,"-35..3",1.35,3.55,-27.1,0.8
"N62_NTC2","N62","NTC2",0.000694214796959274,0.000315921700990837,-6.72581103974673e-06,4.12697684082031e-07,15,"-35..3",1.35,3.44,-4.8,0
