"node","channel","a","b","c","d","n_plateaus","Trange_C","sd_resid_mK","max_resid_mK","source","note"
"N29","NTC1",0.000897445482825017,0.000259379638973299,-1.48453885146291e-06,2.51210237158307e-07,23,"-37..-0",0.84,2.45,"fit_20260703",""
"N29","NTC2",0.000881697775049882,0.000263371897743313,-1.8310797766833e-06,2.61153598219332e-07,23,"-37..-0",0.85,2.48,"fit_20260703",""
"N29","TestSB",0.00085903322710594,0.000269615327498805,-2.39201839546099e-06,2.78634453997256e-07,23,"-37..-0",0.88,2.26,"fit_20260703",""
"N88","NTC1",0.000889008360058636,0.00026162140248792,-1.70368707450964e-06,2.58310786481878e-07,24,"-37..-0",1.74,3.57,"fit_20260703",""
"N88","NTC2",0.000858519489922967,0.000270287123299756,-2.49054901580735e-06,2.82505500707588e-07,24,"-37..-0",1.09,2.48,"fit_20260703",""
"N88","TestSB",0.000874987681306581,0.000265830572798633,-2.10182526889763e-06,2.7119379348093e-07,24,"-37..-0",1.24,2.75,"fit_20260703",""
"N89","NTC1",0.000890160950541923,0.000261059408852105,-1.61413041998497e-06,2.55212895572148e-07,24,"-37..-0",1.06,2.44,"fit_20260703",""
"N89","NTC2",0.000866544626004075,0.000267836358357974,-2.27342824533526e-06,2.76216285681479e-07,24,"-37..-0",1.02,2.32,"fit_20260703",""
"N89","TestSB",0.000807418420402487,0.000284740702665524,-3.87656672475349e-06,3.2668357686446e-07,24,"-37..-0",1.02,2.55,"fit_20260703",""
"N90","NTC1",0.000877658605796142,0.000264420202378636,-1.91489289064532e-06,2.64405966399569e-07,24,"-37..-0",1.2,2.9,"fit_20260703",""
"N90","NTC2",0.000854961353101311,0.000270748071836533,-2.50095634593273e-06,2.81410578767134e-07,24,"-37..-0",1.02,2.4,"fit_20260703",""
"N90","TestSB",0.000856952192914187,0.000270753732868125,-2.55701122445662e-06,2.84919103206601e-07,24,"-37..-0",0.94,2.12,"fit_20260703",""
"N91","NTC1",0.00086549614060836,0.000268222168255655,-2.29455693457953e-06,2.76277847874043e-07,24,"-37..-0",0.84,2.04,"fit_20260703",""
"N91","NTC2",0.000844698535790589,0.000274061344372884,-2.83186836448069e-06,2.92632067640112e-07,24,"-37..-0",0.79,1.9,"fit_20260703",""
"N91","TestSB",0.000840643550771862,0.000275284425942264,-2.95256542097957e-06,2.9655086182692e-07,24,"-37..-0",0.87,1.98,"fit_20260703",""
"N92","NTC1",0.000914811672703723,0.000254738632470683,-1.06762267584518e-06,2.39149045586476e-07,24,"-37..-0",1.31,3.11,"fit_20260703",""
"N92","NTC2",0.000926668511404137,0.000251476780537275,-7.77487647595134e-07,2.30987557216068e-07,24,"-37..-0",1.36,3.03,"fit_20260703",""
"N92","TestSB",0.000910323391010542,0.000256040934443465,-1.21046834542301e-06,2.44037724028543e-07,24,"-37..-0",1.72,3.52,"fit_20260703",""
"N93","NTC1",0.000914568826271367,0.000254632632834235,-1.06968551219315e-06,2.39613165106128e-07,24,"-37..-0",0.87,2.04,"fit_20260703",""
"N93","NTC2",0.000896147919417829,0.000259612095354019,-1.51788090239126e-06,2.53793917939115e-07,24,"-37..-0",0.78,1.79,"fit_20260703",""
"N93","TestSB",0.000871814610624906,0.000266903624734179,-2.20603803452502e-06,2.7443437441096e-07,24,"-37..-0",0.93,1.98,"fit_20260703",""
"N94","NTC1",0.000910841691051653,0.000255478407481511,-1.11485461559855e-06,2.395556319227e-07,24,"-37..-0",1.04,2.58,"fit_20260703",""
"N94","NTC2",0.000899410699243117,0.000258967897852254,-1.45987159672055e-06,2.50950489362542e-07,24,"-37..-0",1.16,2.48,"fit_20260703",""
"N94","TestSB",0.000873840493161849,0.000265844159558384,-2.07912876676918e-06,2.69234566723312e-07,24,"-37..-0",1.01,1.98,"fit_20260703",""
"N96","NTC1",0.00091790914992005,0.000253742399437594,-9.59400237216792e-07,2.34916783245814e-07,24,"-37..-0",1.1,2.34,"fit_20260703",""
"N96","NTC2",0.00091326269637483,0.000254966599710984,-1.07642730042954e-06,2.38473883065959e-07,24,"-37..-0",0.92,1.73,"fit_20260703",""
"N96","TestSB",0.000859926988594914,0.000269790108881227,-2.4393587325164e-06,2.80814645606339e-07,24,"-37..-0",0.95,1.87,"fit_20260703",""
"N97","NTC1",0.000884409736791705,0.000262342153062247,-1.71079493550808e-06,2.57956227317181e-07,23,"-37..-0",1.06,2.83,"fit_20260703",""
"N97","NTC2",0.000887529722176747,0.000262137234580812,-1.74439599259492e-06,2.59608644163155e-07,23,"-37..-0",0.98,2.45,"fit_20260703",""
"N97","TestSB",0.000834534890262985,0.000276972725078647,-3.12494759601022e-06,3.02269126516151e-07,23,"-37..-0",1.07,2.23,"fit_20260703",""
"N98","NTC1",0.000866713745396219,0.000268545450389976,-2.38857340526329e-06,2.80850123474134e-07,0,NA,NA,NA,"SM2","not fitted (faulty or <4 settled plateaus) - SM curve reused"
"N98","NTC2",0.000856409300265156,0.000270844809387832,-2.56507028974278e-06,2.85333582293942e-07,0,NA,NA,NA,"SM2","not fitted (faulty or <4 settled plateaus) - SM curve reused"
