"run","setpoint_C","Tref_C","node","channel","flag","counts","R_mean","resid_mK","bias_SM_mK","win_min","sprt_sd_mK","sprt_drift_mK","settled"
"B_20260705-091555_-37to-15",-37,-37.1790670765838,"N92","NTC1","ok",3717220.17567568,166037.220674227,-7.47501860273303,-115.4,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1790670765838,"N92","NTC2","ok",3714303.85135135,165842.060975603,14.3480934121527,-10,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1790670765838,"N92","TestSB","ok",3724633.12162162,166533.981406265,-62.8955065889585,-13.2,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1790670765838,"N93","NTC1","ok",3724742.25675676,166541.302223697,-63.7108720885209,-27.1,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1790670765838,"N93","NTC2","ok",3714998.58108108,165888.538261773,9.14833436247875,-8.4,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1790670765838,"N93","TestSB","ok",3717066.97297297,166026.964586437,-6.32887306979057,-6.8,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1790670765838,"N94","NTC1","ok",3726167.78378378,166636.946716896,-74.359748172057,-7.9,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1790670765838,"N94","NTC2","ok",3722741.2972973,166407.111363685,-48.7588705743605,-9,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1790670765838,"N94","TestSB","ok",3727455.58108108,166723.381854544,-83.977439114264,-7.6,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1790670765838,"N96","NTC1","ok",3721610.5,166331.308299168,-40.3067202773713,-7.8,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1790670765838,"N96","NTC2","ok",3726515.68918919,166660.294688274,-76.9582369577932,-6.5,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1790670765838,"N96","TestSB","ok",3715687.72972973,165934.650733915,3.9909872779873,-111,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1789501408591,"N88","NTC1","ok",3729784.71666667,166879.786146347,-101.483519833344,-9.3,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1789501408591,"N88","NTC2","ok",3714814.2,165876.202358265,10.4113501205134,-8.6,30,7.5,-1.6,TRUE
"B_20260705-091555_-37to-15",-37,-37.1789501408591,"N88","TestSB","ok",3719156.76666667,166166.90127222,-22.0773380068167,-144.4,30,7.5,-1.6,TRUE
