"sensor","node","channel","n_plateaus","Trange","u_insample_mK","u_interp_mK","U_interp_2u_mK","u_all_mK","U_all_2u_mK","max_oos_mK","diff_drift_mK_day","diff_se_mK_day"
"N29_NTC1","N29","NTC1",23,"-37..-0",0.84,0.7,1.4,0.81,1.62,1.56,-0.44,0.14
"N29_NTC2","N29","NTC2",23,"-37..-0",0.85,0.68,1.36,0.82,1.64,1.78,-0.39,0.13
"N29_TestSB","N29","TestSB",23,"-37..-0",0.88,0.73,1.46,0.85,1.69,2.16,-0.33,0.19
"N88_NTC1","N88","NTC1",24,"-37..-0",1.74,1.58,3.17,1.58,3.15,2.92,1.15,0.16
"N88_NTC2","N88","NTC2",24,"-37..-0",1.09,0.98,1.96,0.97,1.94,2.09,0.21,0.1
"N88_TestSB","N88","TestSB",24,"-37..-0",1.24,1.12,2.24,1.1,2.2,1.93,0.37,0.13
"N89_NTC1","N89","NTC1",24,"-37..-0",1.06,0.9,1.81,0.86,1.72,2.16,-0.01,0.13
"N89_NTC2","N89","NTC2",24,"-37..-0",1.02,0.96,1.91,0.99,1.98,2.02,-0.15,0.17
"N89_TestSB","N89","TestSB",24,"-37..-0",1.02,0.85,1.7,0.83,1.65,1.47,-0.13,0.15
"N90_NTC1","N90","NTC1",24,"-37..-0",1.2,1.04,2.08,1,2,1.92,0.19,0.15
"N90_NTC2","N90","NTC2",24,"-37..-0",1.02,0.92,1.83,0.87,1.74,1.92,0.05,0.12
"N90_TestSB","N90","TestSB",24,"-37..-0",0.94,0.84,1.67,0.86,1.72,1.55,-0.04,0.1
"N91_NTC1","N91","NTC1",24,"-37..-0",0.84,0.73,1.46,0.71,1.41,1.72,-0.32,0.15
"N91_NTC2","N91","NTC2",24,"-37..-0",0.79,0.65,1.29,0.63,1.27,1.49,-0.34,0.13
"N91_TestSB","N91","TestSB",24,"-37..-0",0.87,0.75,1.49,0.72,1.44,1.74,-0.53,0.2
"N92_NTC1","N92","NTC1",24,"-37..-0",1.31,1.18,2.36,1.19,2.38,2.12,0.41,0.14
"N92_NTC2","N92","NTC2",24,"-37..-0",1.36,1.3,2.59,1.43,2.87,2.51,0.3,0.19
"N92_TestSB","N92","TestSB",24,"-37..-0",1.72,1.7,3.39,1.92,3.84,3.9,0.75,0.26
"N93_NTC1","N93","NTC1",24,"-37..-0",0.87,0.89,1.77,1.05,2.11,2.45,-0.27,0.14
"N93_NTC2","N93","NTC2",24,"-37..-0",0.78,0.78,1.55,0.86,1.73,2.02,-0.33,0.14
"N93_TestSB","N93","TestSB",24,"-37..-0",0.93,0.88,1.76,0.96,1.93,2.12,0.02,0.15
"N94_NTC1","N94","NTC1",24,"-37..-0",1.04,0.94,1.88,1.03,2.06,2.09,0.11,0.1
"N94_NTC2","N94","NTC2",24,"-37..-0",1.16,1.12,2.24,1.11,2.22,1.92,0.4,0.12
"N94_TestSB","N94","TestSB",24,"-37..-0",1.01,1.02,2.04,0.98,1.95,2.06,0.08,0.18
"N96_NTC1","N96","NTC1",24,"-37..-0",1.1,1.07,2.15,1.03,2.05,2.05,0.17,0.17
"N96_NTC2","N96","NTC2",24,"-37..-0",0.92,0.93,1.86,0.9,1.79,1.79,0.01,0.14
"N96_TestSB","N96","TestSB",24,"-37..-0",0.95,1.03,2.06,1.35,2.7,3.4,-0.22,0.19
"N97_NTC1","N97","NTC1",23,"-37..-0",1.06,0.82,1.65,0.86,1.72,1.8,0.1,0.13
"N97_NTC2","N97","NTC2",23,"-37..-0",0.98,0.85,1.71,0.85,1.7,1.95,0.02,0.11
"N97_TestSB","N97","TestSB",23,"-37..-0",1.07,1.09,2.19,1.06,2.13,2.21,-0.16,0.22
"N99_NTC1","N99","NTC1",23,"-37..-0",0.88,0.71,1.43,1.06,2.13,2.8,-0.32,0.14
"N99_NTC2","N99","NTC2",23,"-37..-0",0.87,0.78,1.56,1.16,2.33,3.13,-0.34,0.16
"N99_TestSB","N99","TestSB",23,"-37..-0",1.38,1.7,3.39,1.74,3.49,5.83,-0.39,0.43
