Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB
Group1; 0.044305; 2026-07-06 12:13:17.369047; New Node Array: 95 13 18 19 25
Group1; 0.060292; 2026-07-06 12:13:17.385034; 
Group1; 11.467954; 2026-07-06 12:13:28.792696; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB
Group1; 22.907563; 2026-07-06 12:13:40.232305; 839912 | 840311 | 839746 || 839234 | 837482 | 838085 || 843562 | 841152 | 837674 || 838057 | 833582 | 831726 || 832955 | 831116 | 830203
Group1; 34.331224; 2026-07-06 12:13:51.655966; 829784 | 829573 | 828557 || 828665 | 826810 | 827295 || 833911 | 833555 | 825427 || 827261 | 821250 | 820090 || 820658 | 819675 | 819075
Group1; 45.770926; 2026-07-06 12:14:03.095668; 818242 | 818392 | 817556 || 816779 | 815245 | 815311 || 822989 | 821426 | 813108 || 815222 | 809072 | 808123 || 808760 | 808103 | 808645
Group1; 57.210703; 2026-07-06 12:14:14.535445; 805660 | 805915 | 805532 || 803953 | 802131 | 802758 || 810430 | 809682 | 800873 || 802714 | 797414 | 796673 || 797179 | 797286 | 796942
Group1; 68.649998; 2026-07-06 12:14:25.974740; 795889 | 796401 | 795728 || 794945 | 793311 | 794282 || 800579 | 800082 | 792763 || 794399 | 790661 | 790477 || 790432 | 791124 | 791409
Group1; 80.090037; 2026-07-06 12:14:37.414779; 789744 | 790361 | 790402 || 788959 | 788328 | 789711 || 793239 | 792460 | 788337 || 789422 | 786378 | 786176 || 786289 | 787233 | 787573
Group1; 91.51348; 2026-07-06 12:14:48.838222; 786281 | 787473 | 787355 || 786255 | 785846 | 787778 || 789150 | 788000 | 786052 || 786797 | 784302 | 784338 || 784312 | 785504 | 786161
Group1; 102.953082; 2026-07-06 12:15:00.277824; 784766 | 786123 | 786233 || 784866 | 784414 | 786324 || 787280 | 786083 | 785045 || 785633 | 783699 | 783869 || 783814 | 785059 | 785894
Group1; 114.392735; 2026-07-06 12:15:11.717477; 784488 | 785922 | 785903 || 784713 | 784347 | 786171 || 786540 | 785267 | 784942 || 785434 | 783789 | 784081 || 784052 | 785344 | 785858
Group1; 125.832093; 2026-07-06 12:15:23.156835; 784539 | 785692 | 785799 || 784647 | 784471 | 786508 || 786266 | 785304 | 785351 || 785872 | 784414 | 784769 || 784606 | 785999 | 786627
Group1; 137.255794; 2026-07-06 12:15:34.580536; 785188 | 786401 | 786630 || 785173 | 785173 | 787538 || 786703 | 785712 | 786685 || 786486 | 785326 | 785579 || 785421 | 786692 | 787302
Group1; 148.69571; 2026-07-06 12:15:46.020452; 786114 | 787653 | 787897 || 786676 | 786425 | 788515 || 787628 | 786857 | 786996 || 787770 | 786536 | 786909 || 786816 | 788144 | 788770
Group1; 160.13536; 2026-07-06 12:15:57.460102; 787466 | 788786 | 789092 || 787718 | 787760 | 790216 || 788828 | 788278 | 788919 || 789234 | 787768 | 787892 || 787862 | 789374 | 790102
