Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB
Group1; 0.045088; 2026-07-06 13:52:52.426447; New Node Array: 95 13 18 19 25
Group1; 0.060713; 2026-07-06 13:52:52.442072; 
Group1; 11.468581; 2026-07-06 13:53:03.849940; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB
Group1; 22.908054; 2026-07-06 13:53:15.289413; 967943 | 969529 | 969429 || 968043 | 968061 | 970372 || 969733 | 968617 | 968686 || 969418 | 967170 | 967253 || 967278 | 968618 | 969421
Group1; 34.331591; 2026-07-06 13:53:26.712950; 967921 | 969703 | 969826 || 968351 | 968189 | 970209 || 969958 | 969046 | 968615 || 969376 | 967146 | 967191 || 967338 | 968626 | 969351
Group1; 45.771146; 2026-07-06 13:53:38.152505; 967824 | 969522 | 969467 || 967955 | 967715 | 969981 || 969794 | 968791 | 968455 || 969225 | 966855 | 966958 || 966967 | 968204 | 969015
Group1; 57.210861; 2026-07-06 13:53:49.592220; 967423 | 969023 | 969025 || 967557 | 967364 | 969760 || 969412 | 968576 | 968035 || 968720 | 966405 | 966718 || 966548 | 968076 | 968868
Group1; 68.650337; 2026-07-06 13:54:01.031696; 967251 | 968956 | 968934 || 967422 | 967014 | 969157 || 969210 | 968152 | 967828 || 968554 | 966548 | 966551 || 966658 | 967802 | 968539
Group1; 80.089999; 2026-07-06 13:54:12.471358; 966991 | 968653 | 968734 || 967386 | 967104 | 969548 || 969152 | 968054 | 968076 || 968684 | 966788 | 967106 || 967038 | 968436 | 969051
Group1; 91.51355; 2026-07-06 13:54:23.894909; 967447 | 969090 | 969154 || 967744 | 967526 | 969804 || 969450 | 968314 | 968160 || 968946 | 966806 | 966927 || 967023 | 968368 | 969163
