# Klimakammer 172.168.225.202, Soll -45 °C, Toleranz 1 K, stabil 1 min (Messprogramm)
# zeit	ist_C	soll_C	status	fehler
2026-09-17T18:06:37	-49.99	-45.00	3	
2026-09-17T18:07:08	-49.63	-45.00	3	
2026-09-17T18:07:38	-49.13	-45.00	3	
2026-09-17T18:08:08	-48.70	-45.00	3	
2026-09-17T18:08:38	-48.26	-45.00	3	
2026-09-17T18:09:08	-47.85	-45.00	3	
2026-09-17T18:09:38	-47.44	-45.00	3	
2026-09-17T18:10:08	-47.02	-45.00	3	
2026-09-17T18:10:38	-46.58	-45.00	3	
2026-09-17T18:11:08	-46.15	-45.00	3	
2026-09-17T18:11:39	-45.69	-45.00	3	
2026-09-17T18:12:10	-45.23	-45.00	3	
2026-09-17T18:12:40	-44.81	-45.00	3	
