# Klimakammer 172.168.225.202, Soll +20 °C, Toleranz 1 K, stabil 30 min (Messprogramm; phase warten/messen)
# zeit	ist_C	soll_C	status	fehler	phase
2026-09-17T20:03:33	-50.01	20.00	3		warten
2026-09-17T20:04:03	-49.10	20.00	3		warten
2026-09-17T20:04:33	-47.11	20.00	3		warten
2026-09-17T20:05:04	-44.76	20.00	3		warten
2026-09-17T20:05:34	-42.17	20.00	3		warten
2026-09-17T20:06:04	-39.47	20.00	3		warten
2026-09-17T20:06:34	-36.84	20.00	3		warten
2026-09-17T20:07:04	-34.19	20.00	3		warten
2026-09-17T20:07:34	-31.60	20.00	3		warten
2026-09-17T20:08:04	-28.93	20.00	3		warten
2026-09-17T20:08:35	-26.10	20.00	3		warten
2026-09-17T20:09:05	-23.33	20.00	3		warten
2026-09-17T20:09:35	-20.71	20.00	3		warten
2026-09-17T20:10:05	-18.20	20.00	3		warten
2026-09-17T20:10:35	-15.72	20.00	3		warten
2026-09-17T20:11:05	-13.28	20.00	3		warten
2026-09-17T20:11:35	-10.90	20.00	3		warten
2026-09-17T20:12:05	-8.51	20.00	3		warten
2026-09-17T20:12:36	-6.20	20.00	3		warten
2026-09-17T20:13:06	-3.91	20.00	3		warten
2026-09-17T20:13:36	-1.71	20.00	3		warten
2026-09-17T20:14:06	0.55	20.00	3		warten
2026-09-17T20:14:36	2.69	20.00	3		warten
2026-09-17T20:15:06	4.90	20.00	3		warten
2026-09-17T20:15:36	7.00	20.00	3		warten
2026-09-17T20:16:06	9.09	20.00	3		warten
2026-09-17T20:16:36	10.88	20.00	3		warten
2026-09-17T20:17:06	12.48	20.00	3		warten
2026-09-17T20:17:37	13.86	20.00	3		warten
2026-09-17T20:18:07	15.06	20.00	3		warten
2026-09-17T20:18:37	16.06	20.00	3		warten
2026-09-17T20:19:07	16.89	20.00	3		warten
2026-09-17T20:19:37	17.53	20.00	3		warten
2026-09-17T20:20:07	18.10	20.00	3		warten
2026-09-17T20:20:38	18.66	20.00	3		warten
2026-09-17T20:21:08	19.09	20.00	3		warten
2026-09-17T20:21:38	19.47	20.00	3		warten
2026-09-17T20:22:09	19.84	20.00	3		warten
2026-09-17T20:22:39	20.14	20.00	3		warten
2026-09-17T20:23:09	20.35	20.00	3		warten
2026-09-17T20:23:39	20.43	20.00	3		warten
2026-09-17T20:24:09	20.47	20.00	3		warten
2026-09-17T20:24:39	20.40	20.00	3		warten
2026-09-17T20:25:09	20.30	20.00	3		warten
2026-09-17T20:25:39	20.23	20.00	3		warten
2026-09-17T20:26:10	20.15	20.00	3		warten
2026-09-17T20:26:40	20.09	20.00	3		warten
