# Klimakammer 172.168.225.202, Soll -70 °C, Toleranz 1 K, stabil 30 min (Messprogramm; phase warten/messen)
# zeit	ist_C	soll_C	status	fehler	phase
2026-09-18T07:46:22	20.01	-70.00	3		warten
2026-09-18T07:46:52	20.02	-70.00	3		warten
2026-09-18T07:47:22	19.86	-70.00	3		warten
2026-09-18T07:47:53	17.98	-70.00	3		warten
2026-09-18T07:48:23	16.14	-70.00	3		warten
2026-09-18T07:48:53	14.31	-70.00	3		warten
2026-09-18T07:49:23	11.65	-70.00	3		warten
2026-09-18T07:49:53	8.81	-70.00	3		warten
2026-09-18T07:50:23	6.39	-70.00	3		warten
2026-09-18T07:50:53	4.29	-70.00	3		warten
2026-09-18T07:51:23	2.28	-70.00	3		warten
2026-09-18T07:51:54	0.31	-70.00	3		warten
2026-09-18T07:52:24	-1.49	-70.00	3		warten
2026-09-18T07:52:54	-3.19	-70.00	3		warten
2026-09-18T07:53:24	-4.91	-70.00	3		warten
2026-09-18T07:53:54	-6.55	-70.00	3		warten
2026-09-18T07:54:24	-8.19	-70.00	3		warten
2026-09-18T07:54:54	-9.75	-70.00	3		warten
2026-09-18T07:55:24	-11.33	-70.00	3		warten
2026-09-18T07:55:54	-12.82	-70.00	3		warten
2026-09-18T07:56:25	-14.41	-70.00	3		warten
2026-09-18T07:56:55	-15.88	-70.00	3		warten
2026-09-18T07:57:25	-17.37	-70.00	3		warten
2026-09-18T07:57:55	-18.86	-70.00	3		warten
2026-09-18T07:58:25	-20.34	-70.00	3		warten
2026-09-18T07:58:55	-21.76	-70.00	3		warten
2026-09-18T07:59:25	-23.09	-70.00	3		warten
2026-09-18T07:59:55	-24.46	-70.00	3		warten
2026-09-18T08:00:25	-25.69	-70.00	3		warten
2026-09-18T08:00:56	-26.90	-70.00	3		warten
2026-09-18T08:01:26	-28.17	-70.00	3		warten
2026-09-18T08:01:56	-29.37	-70.00	3		warten
2026-09-18T08:02:26	-30.52	-70.00	3		warten
2026-09-18T08:02:56	-31.63	-70.00	3		warten
2026-09-18T08:03:26	-32.65	-70.00	3		warten
2026-09-18T08:03:56	-33.65	-70.00	3		warten
2026-09-18T08:04:26	-34.63	-70.00	3		warten
2026-09-18T08:04:56	-35.66	-70.00	3		warten
2026-09-18T08:05:27	-36.58	-70.00	3		warten
2026-09-18T08:05:57	-37.52	-70.00	3		warten
2026-09-18T08:06:27	-38.43	-70.00	3		warten
2026-09-18T08:06:57	-39.31	-70.00	3		warten
2026-09-18T08:07:27	-40.13	-70.00	3		warten
2026-09-18T08:07:57	-40.97	-70.00	3		warten
2026-09-18T08:08:27	-41.83	-70.00	3		warten
2026-09-18T08:08:57	-42.62	-70.00	3		warten
2026-09-18T08:09:27	-43.40	-70.00	3		warten
2026-09-18T08:09:58	-44.17	-70.00	3		warten
2026-09-18T08:10:28	-44.93	-70.00	3		warten
2026-09-18T08:10:58	-45.65	-70.00	3		warten
2026-09-18T08:11:28	-46.40	-70.00	3		warten
2026-09-18T08:11:58	-47.12	-70.00	3		warten
2026-09-18T08:12:28	-47.83	-70.00	3		warten
2026-09-18T08:12:59	-48.50	-70.00	3		warten
2026-09-18T08:13:29	-49.13	-70.00	3		warten
2026-09-18T08:13:59	-49.80	-70.00	3		warten
2026-09-18T08:14:29	-50.43	-70.00	3		warten
2026-09-18T08:14:59	-51.01	-70.00	3		warten
2026-09-18T08:15:29	-51.57	-70.00	3		warten
2026-09-18T08:15:59	-52.14	-70.00	3		warten
2026-09-18T08:16:29	-52.73	-70.00	3		warten
2026-09-18T08:17:00	-53.26	-70.00	3		warten
2026-09-18T08:17:30	-53.80	-70.00	3		warten
2026-09-18T08:18:00	-54.32	-70.00	3		warten
2026-09-18T08:18:30	-54.80	-70.00	3		warten
2026-09-18T08:19:00	-55.24	-70.00	3		warten
2026-09-18T08:19:30	-55.74	-70.00	3		warten
2026-09-18T08:20:00	-56.22	-70.00	3		warten
2026-09-18T08:20:30	-56.67	-70.00	3		warten
2026-09-18T08:21:00	-57.13	-70.00	3		warten
2026-09-18T08:21:30	-57.59	-70.00	3		warten
2026-09-18T08:22:00	-58.03	-70.00	3		warten
2026-09-18T08:22:31	-58.46	-70.00	3		warten
2026-09-18T08:23:01	-58.89	-70.00	3		warten
2026-09-18T08:23:31	-59.28	-70.00	3		warten
2026-09-18T08:24:01	-59.67	-70.00	3		warten
2026-09-18T08:24:31	-60.06	-70.00	3		warten
2026-09-18T08:25:01	-60.45	-70.00	3		warten
2026-09-18T08:25:31	-60.78	-70.00	3		warten
2026-09-18T08:26:01	-61.10	-70.00	3		warten
2026-09-18T08:26:31	-61.45	-70.00	3		warten
2026-09-18T08:27:01	-61.79	-70.00	3		warten
2026-09-18T08:27:32	-62.11	-70.00	3		warten
2026-09-18T08:28:02	-62.43	-70.00	3		warten
2026-09-18T08:28:32	-62.75	-70.00	3		warten
2026-09-18T08:29:02	-63.11	-70.00	3		warten
2026-09-18T08:29:32	-63.46	-70.00	3		warten
2026-09-18T08:30:02	-63.80	-70.00	3		warten
2026-09-18T08:30:32	-64.13	-70.00	3		warten
2026-09-18T08:31:02	-64.44	-70.00	3		warten
2026-09-18T08:31:32	-64.76	-70.00	3		warten
2026-09-18T08:32:02	-65.04	-70.00	3		warten
2026-09-18T08:32:32	-65.33	-70.00	3		warten
2026-09-18T08:33:03	-65.63	-70.00	3		warten
2026-09-18T08:33:33	-65.88	-70.00	3		warten
2026-09-18T08:34:03	-66.14	-70.00	3		warten
