start,soll_C,tag,zyklen,zyklen_mit_daten,zyklen_mit_kopfzeile,n_werte,n_5000,n_ungueltig,median_mm,min_mm,max_mm,abw_ref_pct,strom_mA,bemerkung,datei,median_z1_mm,drift_mm,n_500
2026-09-17T18:41:53,-50,abkling,8,8,8,96,0,0,975,955,982,,100,,kammer_MB7574_20260917-182810_T-50_abkling_184153.txt,973.5,-1.5,0
2026-09-17T19:06:03,-50,,20,20,20,215,0,0,972,938,980,,100,,kammer_MB7574_20260917-182810_T-50_190603.txt,974.5,-4.5,25
2026-09-17T20:51:16,20,warm1,20,20,20,240,0,0,991,985,994,,90,,kammer_MB7574_20260917-182810_T+20_warm1_205116.txt,987.5,3,0
2026-09-17T22:55:34,-60,,20,20,20,240,0,0,982,976,987,,100,,kammer_MB7574_20260917-182810_T-60_225534.txt,982,-1,0
2026-09-18T00:27:13,-65,,20,20,20,240,0,0,984,974,990,,100,,kammer_MB7574_20260917-182810_T-65_002713.txt,983,-0.5,0
2026-09-18T02:00:24,-70,dauer,80,80,80,960,0,0,987,522,993,,110,,kammer_MB7574_20260917-182810_T-70_dauer_020024.txt,986,-3,0
2026-09-18T06:48:52,20,warm2,20,20,20,240,0,0,929,906,946,,90,,kammer_MB7574_20260917-182810_T+20_warm2_064852.txt,909.5,26.5,0
2026-09-18T09:10:43,-70,zyk,20,20,20,240,0,0,993,987,1001,,110,,kammer_MB7574_20260917-182810_T-70_zyk_091043.txt,994.5,-2.5,0
2026-09-18T10:36:22,-40,,20,20,20,228,0,0,981,975,988,,100,,kammer_MB7574_20260917-182810_T-40_103622.txt,978,3,12
2026-09-18T12:50:19,20,ende,20,20,20,240,0,0,952,932,987,,90,,kammer_MB7574_20260917-182810_T+20_ende_125019.txt,944.5,20,0
