# Klimakammer 172.168.225.202, Soll +20 °C, Toleranz 1 K, stabil 120 min (Messprogramm; phase warten/messen)
# zeit	ist_C	soll_C	status	fehler	phase	rF
2026-09-18T13:49:04	20.00	20.00	3		warten	0.0
2026-09-18T13:49:35	19.99	20.00	3		warten	0.0
2026-09-18T13:50:05	19.99	20.00	3		warten	0.0
2026-09-18T13:50:35	20.01	20.00	3		warten	0.0
2026-09-18T13:51:05	20.00	20.00	3		warten	0.0
2026-09-18T13:51:35	20.00	20.00	3		warten	0.0
2026-09-18T13:52:05	20.00	20.00	3		warten	0.0
2026-09-18T13:52:36	20.00	20.00	3		warten	0.0
2026-09-18T13:53:06	20.02	20.00	3		warten	0.0
2026-09-18T13:53:36	20.01	20.00	3		warten	0.0
2026-09-18T13:54:06	20.01	20.00	3		warten	0.0
2026-09-18T13:54:36	20.01	20.00	3		warten	0.0
2026-09-18T13:55:06	20.01	20.00	3		warten	0.0
2026-09-18T13:55:36	20.01	20.00	3		warten	0.0
2026-09-18T13:56:07	20.00	20.00	3		warten	0.0
2026-09-18T13:56:37	20.00	20.00	3		warten	0.0
2026-09-18T13:57:07	20.01	20.00	3		warten	0.0
2026-09-18T13:57:37	20.00	20.00	3		warten	0.0
2026-09-18T13:58:07	20.00	20.00	3		warten	0.0
2026-09-18T13:58:37	20.01	20.00	3		warten	0.0
2026-09-18T13:59:08	20.00	20.00	3		warten	0.0
2026-09-18T13:59:38	20.01	20.00	3		warten	0.0
2026-09-18T14:00:08	20.01	20.00	3		warten	0.0
2026-09-18T14:00:38	20.01	20.00	3		warten	0.0
2026-09-18T14:01:08	20.01	20.00	3		warten	0.0
2026-09-18T14:01:38	20.01	20.00	3		warten	0.0
2026-09-18T14:02:08	20.01	20.00	3		warten	0.0
2026-09-18T14:02:38	20.01	20.00	3		warten	0.0
2026-09-18T14:03:08	20.01	20.00	3		warten	0.0
2026-09-18T14:03:38	20.02	20.00	3		warten	0.0
2026-09-18T14:04:09	20.01	20.00	3		warten	0.0
2026-09-18T14:04:39	20.01	20.00	3		warten	0.0
2026-09-18T14:05:09	20.00	20.00	3		warten	0.0
2026-09-18T14:05:39	20.00	20.00	3		warten	0.0
2026-09-18T14:06:09	20.00	20.00	3		warten	0.0
2026-09-18T14:06:39	20.00	20.00	3		warten	0.0
2026-09-18T14:07:09	20.00	20.00	3		warten	0.0
2026-09-18T14:07:39	20.00	20.00	3		warten	0.0
2026-09-18T14:08:10	20.00	20.00	3		warten	0.0
2026-09-18T14:08:40	20.00	20.00	3		warten	0.0
2026-09-18T14:09:10	20.00	20.00	3		warten	0.0
2026-09-18T14:09:40	20.00	20.00	3		warten	0.0
2026-09-18T14:10:10	20.00	20.00	3		warten	0.0
2026-09-18T14:10:40	20.01	20.00	3		warten	0.0
2026-09-18T14:11:10	20.01	20.00	3		warten	0.0
2026-09-18T14:11:40	20.01	20.00	3		warten	0.0
2026-09-18T14:12:11	20.00	20.00	3		warten	0.0
2026-09-18T14:12:41	20.01	20.00	3		warten	0.0
2026-09-18T14:13:11	20.01	20.00	3		warten	0.0
2026-09-18T14:13:41	20.00	20.00	3		warten	0.0
2026-09-18T14:14:11	20.00	20.00	3		warten	0.0
2026-09-18T14:14:42	20.00	20.00	3		warten	0.0
2026-09-18T14:15:12	20.01	20.00	3		warten	0.0
2026-09-18T14:15:42	20.01	20.00	3		warten	0.0
2026-09-18T14:16:12	20.00	20.00	3		warten	0.0
2026-09-18T14:16:42	20.00	20.00	3		warten	0.0
2026-09-18T14:17:12	20.00	20.00	3		warten	0.0
2026-09-18T14:17:42	20.01	20.00	3		warten	0.0
2026-09-18T14:18:12	20.01	20.00	3		warten	0.0
2026-09-18T14:18:43	20.00	20.00	3		warten	0.0
2026-09-18T14:19:13	20.01	20.00	3		warten	0.0
2026-09-18T14:19:43	20.01	20.00	3		warten	0.0
2026-09-18T14:20:13	20.01	20.00	3		warten	0.0
2026-09-18T14:20:43	20.01	20.00	3		warten	0.0
2026-09-18T14:21:13	20.01	20.00	3		warten	0.0
2026-09-18T14:21:43	20.01	20.00	3		warten	0.0
2026-09-18T14:22:14	20.01	20.00	3		warten	0.0
2026-09-18T14:22:44	20.01	20.00	3		warten	0.0
2026-09-18T14:23:14	20.01	20.00	3		warten	0.0
2026-09-18T14:23:44	20.01	20.00	3		warten	0.0
2026-09-18T14:24:14	20.01	20.00	3		warten	0.0
2026-09-18T14:24:44	20.01	20.00	3		warten	0.0
2026-09-18T14:25:15	20.01	20.00	3		warten	0.0
2026-09-18T14:25:45	20.01	20.00	3		warten	0.0
2026-09-18T14:26:15	20.01	20.00	3		warten	0.0
2026-09-18T14:26:45	20.01	20.00	3		warten	0.0
2026-09-18T14:27:15	20.01	20.00	3		warten	0.0
2026-09-18T14:27:45	20.01	20.00	3		warten	0.0
2026-09-18T14:28:16	20.00	20.00	3		warten	0.0
2026-09-18T14:28:46	20.00	20.00	3		warten	0.0
2026-09-18T14:29:16	20.00	20.00	3		warten	0.0
2026-09-18T14:29:46	20.00	20.00	3		warten	0.0
