# Klimakammer 172.168.225.202, Soll -70 °C, Toleranz 1 K, stabil 0 min (Messprogramm; phase warten/messen)
# zeit	ist_C	soll_C	status	fehler	phase	rF
2026-09-19T00:01:21	-70.00	-70.00	3		warten	0.0
2026-09-19T00:01:21	-70.00	-70.00	3		messen	0.0
2026-09-19T00:01:51	-69.99	-70.00	3		messen	0.0
2026-09-19T00:02:22	-69.99	-70.00	3		messen	0.0
2026-09-19T00:02:52	-70.00	-70.00	3		messen	0.0
2026-09-19T00:03:22	-70.00	-70.00	3		messen	0.0
2026-09-19T00:03:52	-70.00	-70.00	3		messen	0.0
2026-09-19T00:04:22	-70.01	-70.00	3		messen	0.0
2026-09-19T00:04:52	-70.01	-70.00	3		messen	0.0
2026-09-19T00:05:22	-70.01	-70.00	3		messen	0.0
2026-09-19T00:05:52	-70.00	-70.00	3		messen	0.0
2026-09-19T00:06:22	-70.00	-70.00	3		messen	0.0
2026-09-19T00:06:52	-70.00	-70.00	3		messen	0.0
2026-09-19T00:07:22	-70.01	-70.00	3		messen	0.0
2026-09-19T00:07:53	-69.99	-70.00	3		messen	0.0
2026-09-19T00:08:23	-69.99	-70.00	3		messen	0.0
2026-09-19T00:08:53	-70.02	-70.00	3		messen	0.0
2026-09-19T00:09:23	-70.01	-70.00	3		messen	0.0
2026-09-19T00:09:53	-70.00	-70.00	3		messen	0.0
2026-09-19T00:10:23	-70.00	-70.00	3		messen	0.0
2026-09-19T00:10:54	-70.00	-70.00	3		messen	0.0
2026-09-19T00:11:24	-69.99	-70.00	3		messen	0.0
2026-09-19T00:11:54	-69.99	-70.00	3		messen	0.0
2026-09-19T00:12:24	-69.99	-70.00	3		messen	0.0
2026-09-19T00:12:54	-70.01	-70.00	3		messen	0.0
2026-09-19T00:13:24	-70.00	-70.00	3		messen	0.0
2026-09-19T00:13:54	-69.99	-70.00	3		messen	0.0
2026-09-19T00:14:25	-69.99	-70.00	3		messen	0.0
2026-09-19T00:14:55	-70.00	-70.00	3		messen	0.0
2026-09-19T00:15:25	-70.01	-70.00	3		messen	0.0
2026-09-19T00:15:55	-70.00	-70.00	3		messen	0.0
2026-09-19T00:16:25	-69.99	-70.00	3		messen	0.0
